Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Patrimônio Líquido (i);Passivo Total (j) = (h) + (i);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2024;125.598.854;180.763.861;7.224.116;747.296.308;6.226.868;736.809;1.067.846.815;409.805.018;52.112.334;49.744.869;70.080.993;76.279.284;83.902.422;332.119.903;132.260.455;1.942.032.192;87.050.292;491.391.089;2.520.473.573;211.814.179;2.732.287.752
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2024;107.278.605;218.362.609;25.283.067;535.190.038;193.823;12.698.150;899.006.293;635.183.839;14.706.577;206.142.331;20.268.219;33.617.783;226.383;274.961.293;80.853.482;1.890.004.907;8.266.681;329.119.802;2.227.391.390;182.089.587;2.409.480.977
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2024;54.061.291;385.360.327;2.412.283;287.371.221;0;51.378.379;780.583.501;226.682.985;186.380.980;14.192.352;20.999.078;0;0;221.572.409;503.286.712;1.732.125.607;0;189.654.322;1.921.779.929;104.342.750;2.026.122.679
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2024;45.019.827;132.502.157;3.008.439;470.178.364;910.646;310.377;651.929.810;327.800.618;55.865.741;46.738.613;111.672.629;9.534.054;39.622.850;263.433.888;74.482.957;1.317.647.273;15.201.333;224.386.841;1.557.235.447;161.656.788;1.718.892.235
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2024;41.297.214;57.452.664;6.074.796;390.262.763;236.440;209.503;495.533.379;150.550.206;41.165.004;37.080.694;30.589.287;19.851.326;35.577.651;164.263.961;118.639.914;928.987.461;36.414.901;305.315.287;1.270.717.649;99.067.952;1.369.785.601
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2024;0;0;828.834;0;0;4.056.913;4.885.748;34.453.720;0;2.552.937;9.821.179;0;401.582;12.775.698;112.572.884;164.688.050;13.714;517.658.055;682.359.819;158.464.445;840.824.264
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2024;10.575.828;0;4.629.006;138.069.097;8.500;949;153.283.380;114.215.361;562.268;12.847.907;55.113.356;19.682.807;17.421.594;105.627.932;23.088.086;396.214.760;19.775.772;131.895.997;547.886.528;63.493.348;611.379.876
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2024;2.205.466;2.918.297;665.924;72.513.443;94.398;11.399;78.408.927;43.818.743;829.545;19.289.342;44.626.113;0;8.882.065;73.627.065;22.923.824;218.778.559;10.416.778;44.820.012;274.015.349;21.494.220;295.509.569
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2024;1.174.906;0;624.594;54.170.072;0;13.752.904;69.722.476;84.287.357;318.802;359.971;12.465.035;2.215.318;20.369.746;35.728.871;1.666.432;191.405.136;28.258.441;49.416.802;269.080.379;10.828.205;279.908.585
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;12/2024;0;0;0;136.111.450;7.428.987;148.448;143.688.885;1.905.070;0;0;7.276.221;0;0;7.276.221;3.770.671;156.640.847;84.244;72.428.859;229.153.951;19.183.510;248.337.461
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2024;7.872.271;0;479.772;72.536.901;0;225.331;81.114.275;6.610.280;0;0;5.758.387;0;247.124;6.005.511;46.664.208;140.394.273;29.544.517;43.789.467;213.728.257;11.818.230;225.546.487
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;12/2024;97.475;32.713.926;22.411.153;6.558.407;0;0;61.780.961;9.009.683;0;43.742.783;8.135.823;0;0;51.878.606;42.631.960;165.301.209;207.597;21.274.463;186.783.269;4.951.016;191.734.285
BANCOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;12/2024;111.607;15.405.229;85.527.090;5.258.131;107.126;0;106.409.184;10.955.564;30.367;1.152.959;0;0;0;1.183.326;10.651.304;129.199.378;55;19.520.030;148.719.463;4.999.387;153.718.850
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2024;4.387.138;11.402.348;1.697.091;70.493.710;263.281;10.121;88.253.689;22.238.995;2.580.645;3.229.791;1.405.086;0;0;7.215.523;5.327.423;123.035.630;0;12.471.283;135.506.913;10.413.318;145.920.230
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2024;758.595;0;4.877.590;28.651.439;280.951;0;34.568.574;17.227.230;13.384;4.310.520;35.465.962;4.341.169;0;44.131.035;7.737.331;103.664.170;2.269.088;20.967.310;126.900.569;14.492.421;141.392.990
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2024;2.322.259;0;340.858;55.370.655;8.396.032;42;66.429.846;5.590.953;621.030;734.844;1.271.239;0;0;2.627.114;4.514.645;79.162.557;405.423;31.809.651;111.377.630;4.774.464;116.152.094
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;12/2024;0;0;0;0;98.099;0;98.099;0;0;0;0;0;0;0;7.604.167;7.702.265;0;88.160.140;95.862.405;17.295.079;113.157.484
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2024;1.397.434;0;136.339;17.360.602;0;4.165.054;23.059.429;9.395.134;0;0;0;0;12.595;12.595;20.843.615;53.310.773;9.134.627;31.154.139;93.599.540;11.383.984;104.983.524
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2024;1.862.700;0;454.450;25.419.045;0;14.613;27.750.808;8.517.999;898.687;3.470.283;22.594.547;2.272.499;0;29.236.016;7.794.469;73.299.293;182.879;12.118.663;85.600.836;7.092.759;92.693.594
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2024;1.184.694;0;605.290;5.311.182;0;245.095;7.346.260;4.757.476;0;0;83.331;0;697.607;780.938;10.754.489;23.639.162;5.113.247;55.313.227;84.065.636;3.704.714;87.770.350
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2024;656.701;0;423.658;58.575.694;77.810;0;59.733.863;1.870.152;366.838;119.105;2.110.454;0;56.139;2.652.536;5.453;64.262.005;1.403.380;11.794.719;77.460.103;5.232.380;82.692.483
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;2.155.792;1.883.432;517.072;39.739.747;0;0;44.296.043;1.736.234;9.182.632;184.619;185.017;0;337.951;9.890.219;128.960;56.051.457;70.982;11.439.445;67.561.884;7.338.975;74.900.858
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;12/2024;0;0;1.811.104;31.929.788;1.145.968;0;34.886.860;20.885;0;0;5.239.604;0;0;5.239.604;4.522.513;44.669.862;31.434;17.278.470;61.979.766;11.592.843;73.572.609
