Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2025;123.865.319;173.260.600;6.815.932;722.403.100;252.088;1.639.222;1.028.236.260;432.994.760;61.013.224;56.745.906;65.312.362;76.852.533;96.754.427;356.678.451;117.350.280;1.935.259.751;74.059.900;291.205.417;47.421.776;2.347.946.844;217.483.485;2.565.430.329
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2025;95.770.827;216.142.886;26.408.188;554.334.879;177.109;14.036.448;906.870.337;632.466.048;14.941.689;243.063.570;28.881.820;22.881.665;625.257;310.394.002;82.952.536;1.932.682.923;5.423.202;275.795.519;49.355.955;2.263.257.599;175.307.936;2.438.565.535
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2025;50.526.307;390.358.297;2.508.524;300.442.432;0;50.536.860;794.372.421;227.191.741;222.676.233;15.005.909;22.388.541;3.827.841;1.212.308;265.110.832;534.025.120;1.820.700.114;156.152;117.041.906;70.617.122;2.008.515.294;109.598.980;2.118.114.274
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2025;31.440.812;127.352.640;1.199.480;483.448.767;867.171;479.804;644.788.674;329.148.245;68.652.508;50.690.379;123.242.880;10.906.387;35.162.715;288.654.869;82.036.514;1.344.628.301;18.773.965;144.853.709;60.253.618;1.568.509.592;170.631.757;1.739.141.349
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2025;48.924.927;53.884.168;7.015.793;377.401.749;0;541.967;487.768.605;157.460.183;44.464.079;36.872.599;38.153.057;17.349.134;34.786.783;171.625.652;120.281.358;937.135.798;35.326.851;157.152.733;24.532.275;1.154.147.656;101.937.165;1.256.084.821
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2025;0;0;971.259;0;0;3.792.096;4.763.355;33.201.980;0;4.560.792;0;0;459.775.706;464.336.498;67.033.516;569.335.348;1.274.915;121.888.354;29.803.353;722.301.970;165.335.862;887.637.832
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2025;10.701.864;0;3.354.569;138.707.541;0;1.644;152.765.618;124.421.316;1.989;13.982.118;64.513.712;13.190.486;4.009.270;95.697.575;31.147.898;404.032.407;54.694.430;54.810.681;22.676.315;536.213.832;69.335.302;605.549.134
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2025;1.248.456;0;544.418;60.478.372;0;12.827.547;75.098.793;84.923.169;906.295;378.727;13.315.608;4.198.905;23.540.914;42.340.450;3.281.952;205.644.364;35.458.181;18.306.131;2.746.397;262.155.073;12.408.265;274.563.338
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;3;SAO PAULO;SP;06/2025;0;0;0;144.319.559;7.902.998;133.481;152.356.038;8.787.140;0;0;9.394.901;0;0;9.394.901;5.258.820;175.796.899;576.783;68.547.301;5.872.096;250.793.079;18.870.110;269.663.189
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2025;1.831.143;2.325.296;762.086;53.620.666;34.077;20.972;58.594.241;44.796.444;787.829;18.465.597;43.645.309;0;9.099.442;71.998.177;23.841.599;199.230.460;12.130.930;20.166.729;14.770.573;246.298.693;19.777.134;266.075.827
