Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2025;2.842.096;11.141.268;1.807.851;72.462.188;219.324;75.128;88.547.856;25.460.841;2.730.638;3.422.172;2.056.241;0;-14.164;8.194.887;5.829.308;128.032.892;1.718;10.893.231;2.175.562;141.103.403;10.412.766;151.516.169
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2025;619.981;0;199.277;24.416.690;285.810;0;25.521.758;25.310.891;6.669;4.139.884;38.602.721;3.902.456;-111.178;46.540.552;6.970.517;104.343.717;5.971.059;14.890.329;3.428.153;128.633.258;13.005.580;141.638.837
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;03/2025;2.576.307;0;345.326;59.982.855;7.623.024;0;70.527.512;3.746.202;712.204;752.927;1.549.142;0;-241.179;2.773.094;6.305.641;83.352.449;20.281;27.627.992;2.340.419;113.341.142;4.507.582;117.848.724
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2025;1.336.499;0;140.320;16.262.603;0;2.596.186;20.335.607;9.998.309;0;0;0;0;12.886;12.886;53.825.948;84.172.750;6.468.277;7.228.628;0;97.869.654;12.017.247;109.886.902
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;03/2025;0;0;0;0;117.811;0;117.811;0;0;0;0;0;0;0;7.678.375;7.796.186;0;85.386.324;0;93.182.509;16.107.947;109.290.456
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2025;590.504;0;522.667;58.457.402;16.400;0;59.586.974;2.556.805;404.489;0;2.168.296;0;4.726;2.577.512;5.632;64.726.922;1.135.986;16.395.841;1.045.807;83.304.557;3.512.548;86.817.105
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2025;1.494.882;0;496.963;20.141.186;0;21.739;22.154.770;7.437.228;747.429;4.253.608;22.434.393;2.365.392;0;29.800.823;8.129.706;67.522.527;579.734;4.329.624;1.336.087;73.767.972;7.423.011;81.190.983
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;03/2025;1.839.404;1.727.777;532.312;40.460.887;0;0;44.560.379;4.050.095;9.864.850;221.369;199.072;0;405.269;10.690.559;240.640;59.541.673;7.872;12.293.354;0;71.842.899;7.251.094;79.093.993
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;03/2025;3.112.354;1.236.400;1.353.956;7.081.644;0;1.732.416;14.516.771;4.534.203;0;180.668;40.389;0;0;221.057;3.377.635;22.649.666;165.724;29.484.949;4.508.883;56.809.221;14.218.619;71.027.840
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2025;1.402.544;2.850.962;1.430.094;36.919.597;151.276;8.029;42.762.502;3.907.042;10.184.238;1.205.151;9.606;0;0;11.398.995;397.016;58.465.554;0;4.634.823;3.266.649;66.367.026;4.079.439;70.446.465
