Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Instrumentos de Dívida Elegíveis a Capital (h);Passivo Exigível (i) = (e) + (f) + (g) + (h);Patrimônio Líquido (j);Passivo Total (k) = (i) + (j);
;;;;;;;;;Depósitos;;;;;;;Obrigações por Operações Compromissadas (b);Outros Instrumentos de Dívida;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósitos (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Demais instrumentos de dívida (c5);Outros Instrumentos de Dívida (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2025;128.407.502;169.398.124;5.926.163;744.051.362;263.158;1.537.350;1.049.583.659;481.037.938;64.296.153;60.261.998;62.391.531;71.267.186;96.426.022;354.642.891;126.005.213;2.011.269.702;77.547.115;294.174.212;40.572.469;2.423.563.499;228.720.138;2.652.283.636
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2025;93.608.185;213.506.353;30.327.416;569.948.010;162.517;14.175.089;921.727.569;696.138.963;15.435.882;242.552.693;28.440.701;22.123.290;812.930;309.365.496;85.132.617;2.012.364.645;8.894.539;284.590.724;53.846.087;2.359.695.996;178.590.322;2.538.286.318
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2025;48.472.617;391.922.245;238.766;325.696.246;0;48.297.650;814.627.523;259.713.951;236.100.398;13.405.862;23.194.150;3.783.375;1.627.112;278.110.898;558.243.342;1.910.695.714;358.045;115.039.029;70.545.804;2.096.638.593;113.050.001;2.209.688.594
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2025;31.177.907;123.974.260;5.498.877;506.169.331;891.429;1.919.509;669.631.314;347.368.775;68.244.587;53.922.005;139.019.066;10.599.614;32.486.275;304.271.547;81.383.827;1.402.655.462;20.473.319;146.215.743;51.962.425;1.621.306.949;173.541.840;1.794.848.789
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2025;42.901.076;52.776.376;4.107.035;391.632.125;0;518.300;491.934.912;158.319.619;46.673.581;38.295.272;44.835.969;16.304.052;33.632.624;179.741.499;119.256.003;949.252.032;49.443.544;159.149.288;24.943.475;1.182.788.339;103.453.241;1.286.241.580
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2025;0;0;925.350;0;0;3.629.374;4.554.724;33.753.300;0;5.998.600;0;0;466.074.084;472.072.684;67.936.449;578.317.157;955.244;127.922.497;29.803.353;736.998.251;168.556.200;905.554.450
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2025;11.590.662;0;5.100.310;154.618.969;0;1.454;171.311.395;126.368.276;1.854;15.623.523;67.019.689;12.733.650;3.977.844;99.356.560;33.043.501;430.079.731;50.310.551;55.440.057;22.947.586;558.777.925;72.233.500;631.011.426
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;09/2025;0;0;0;154.757.021;8.164.145;107.420;163.028.586;13.343.880;0;0;10.910.272;0;0;10.910.272;7.740.414;195.023.152;1.392.231;75.143.716;5.882.166;277.441.265;19.444.599;296.885.864
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2025;1.303.233;0;443.691;60.945.077;0;13.359.287;76.051.288;85.439.235;890.237;112.837;13.701.310;4.305.620;24.382.664;43.392.667;1.826.845;206.710.035;45.045.934;22.641.468;3.974.394;278.371.831;12.663.234;291.035.065
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2025;1.935.430;2.015.028;822.548;58.439.734;27.572;6.423;63.246.734;36.257.046;175.906;20.816.175;45.346.498;0;9.329.142;75.667.721;26.337.729;201.509.229;11.950.448;18.248.203;14.650.515;246.358.396;19.089.667;265.448.063
