Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Patrimônio Líquido (i);Passivo Total (j) = (h) + (i);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2024;123.622.340;176.863.011;5.833.542;717.933.030;7.277.124;735.685;1.032.264.732;448.676.935;41.117.339;45.428.590;74.523.930;69.454.295;77.706.336;308.230.490;115.763.855;1.904.936.012;69.643.096;517.587.443;2.492.166.551;202.492.488;2.694.659.039
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2024;107.924.557;215.320.757;21.955.577;515.721.534;199.525;12.402.106;873.524.054;745.928.187;14.134.630;194.220.414;8.362.606;28.833.845;222.895;245.774.390;76.274.951;1.941.501.583;4.432.846;317.661.126;2.263.595.555;178.624.084;2.442.219.639
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2024;50.256.079;380.985.650;2.372.582;284.208.707;0;39.350.757;757.173.775;251.350.907;171.688.915;14.913.548;7.187.849;0;0;193.790.312;488.275.928;1.690.590.922;83;189.127.088;1.879.718.094;102.371.237;1.982.089.331
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2024;45.286.365;129.742.946;2.835.290;440.377.263;983.853;268.755;619.494.471;325.293.149;55.046.667;44.603.697;113.862.458;8.618.325;42.109.383;264.240.529;64.399.352;1.273.427.501;15.584.925;233.350.338;1.522.362.764;163.723.497;1.686.086.260
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;2;SAO PAULO;SP;09/2024;38.910.003;57.144.155;5.307.607;393.993.356;346.977;173.668;495.875.765;152.756.745;41.103.434;40.416.234;21.638.391;17.119.344;33.421.911;153.699.315;119.383.206;921.715.031;32.367.547;257.604.664;1.211.687.242;99.460.504;1.311.147.746
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2024;0;0;579.292;0;0;4.209.793;4.789.085;36.949.630;0;2.491.796;0;0;441.668;2.933.464;98.517.608;143.189.788;306.839;494.447.737;637.944.364;169.158.701;807.103.064
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2024;8.269.738;0;6.023.024;146.457.935;0;965;160.751.662;124.295.400;586.629;12.772.758;55.950.051;14.858.958;17.199.426;101.367.823;22.931.564;409.346.449;31.368.559;85.366.060;526.081.068;62.508.844;588.589.912
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2024;1.770.303;2.598.754;831.481;79.250.874;100.256;255;84.551.923;45.910.974;537.945;20.309.028;46.830.809;0;9.016.962;76.694.744;20.813.306;227.970.947;19.405.115;40.032.120;287.408.182;22.176.432;309.584.614
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2024;1.146.325;0;980.943;48.608.240;0;16.930.090;67.665.598;65.836.188;139.028;329.409;12.235.974;2.144.421;20.981.199;35.830.032;0;169.331.817;33.369.299;40.030.889;242.732.005;8.933.147;251.665.153
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;09/2024;0;0;0;122.624.814;6.477.685;176.916;129.279.414;2.628.877;0;0;6.553.059;0;0;6.553.059;2.182.668;140.644.018;774.222;61.534.217;202.952.458;16.268.074;219.220.531
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;2;SAO PAULO;SP;09/2024;6.947.310;0;415.019;64.222.008;0;221.327;71.805.664;5.945.139;0;0;4.301.512;0;297.343;4.598.856;43.541.444;125.891.102;15.974.287;49.476.668;191.342.057;13.409.706;204.751.763
