Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Patrimônio Líquido (i);Passivo Total (j) = (h) + (i);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2024;106.842.210;174.191.733;6.429.176;681.706.429;7.476.217;640.431;977.286.195;397.269.815;46.740.270;40.618.528;82.256.060;62.737.481;70.636.009;302.988.348;105.818.873;1.783.363.231;70.995.416;463.356.925;2.317.715.572;184.802.337;2.502.517.909
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2024;102.880.544;205.678.658;22.498.008;479.375.977;207.868;11.473.362;822.114.417;686.919.763;14.295.613;185.832.663;7.923.491;28.788.146;354.606;237.194.519;63.120.232;1.809.348.931;4.255.774;299.296.153;2.112.900.858;169.200.865;2.282.101.723
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2024;46.971.739;358.684.429;1.923.684;269.451.675;0;30.501.431;707.532.958;257.698.073;158.224.527;14.794.871;6.121.048;0;0;179.140.445;449.062.385;1.593.433.861;122;188.584.925;1.782.018.908;96.020.823;1.878.039.731
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2024;40.916.328;127.387.209;1.998.214;439.885.227;881.505;563.107;611.631.590;320.310.245;51.825.531;45.793.293;114.437.961;7.526.563;41.472.987;261.056.335;45.848.081;1.238.846.251;24.861.345;210.355.688;1.474.063.284;161.989.261;1.636.052.544
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2024;37.185.781;57.093.130;3.882.105;374.383.810;330.958;257.031;473.132.814;139.714.095;39.109.938;40.602.641;27.713.950;13.103.402;30.542.556;151.072.487;94.322.653;858.242.049;27.137.032;220.214.766;1.105.593.847;96.681.825;1.202.275.672
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2024;0;0;667.520;0;0;4.570.458;5.237.979;29.182.908;0;821.522;0;2.536.789;525.198;3.883.509;79.056.550;117.360.945;1.103.090;466.232.450;584.696.485;155.009.773;739.706.258
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2024;7.326.503;0;8.667.334;144.347.761;0;248.393;160.589.990;116.265.133;1.407.897;13.791.368;49.306.569;10.835.114;8.010.124;83.351.072;16.060.784;376.266.979;45.360.587;77.429.127;499.056.693;55.950.092;555.006.785
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2024;1.688.711;2.982.886;1.197.141;74.430.815;120.619;294;80.420.467;42.296.499;342.795;21.168.025;43.290.242;0;9.235.616;74.036.678;18.848.591;215.602.235;11.141.616;32.177.077;258.920.928;27.317.536;286.238.464
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2024;1.346.242;0;782.506;27.131.969;0;13.672.834;42.933.551;66.511.872;0;216.378;8.644.174;2.008.058;19.355.612;30.224.222;2.261.239;141.930.884;23.018.084;36.388.385;201.337.353;8.735.691;210.073.044
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;03/2024;0;0;0;104.083.576;7.648.605;1.207.450;112.939.630;3.153.856;0;0;2.432.926;0;0;2.432.926;1.880.910;120.407.322;47;60.630.957;181.038.326;13.005.020;194.043.347
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2024;7.623.815;0;615.636;64.601.781;0;263.853;73.105.084;6.228.292;0;0;7.020.064;0;270.582;7.290.646;35.425.674;122.049.695;11.691.691;46.451.267;180.192.653;12.811.994;193.004.647
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;03/2024;86.703;28.309.768;15.386.416;7.466.805;0;0;51.249.691;11.913.235;0;39.246.117;9.075.274;0;0;48.321.391;31.717.125;143.201.442;336.624;16.525.974;160.064.040;4.806.810;164.870.850
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2024;174.026;12.800.414;88.414.151;3.870.066;82.685;0;105.341.342;1.883.890;0;1.018.743;0;0;0;1.018.743;7.478.437;115.722.411;710;17.892.125;133.615.246;4.348.386;137.963.631
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2024;734.027;0;380.738;30.109.976;240.682;0;31.465.423;17.528.911;192.753;4.469.292;32.530.724;6.029.611;0;43.222.380;4.932.156;97.148.870;2.164.460;22.508.467;121.821.797;14.038.635;135.860.432
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2024;3.315.125;11.045.695;1.988.611;55.362.322;203.080;9.689;71.924.523;18.345.161;1.789.427;3.808.040;1.235.669;0;0;6.833.136;3.223.257;100.326.077;8.613;18.321.195;118.655.885;9.801.834;128.457.719
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2024;1.178.731;0;134.963;25.240.417;0;2.164.832;28.718.942;4.213.228;0;0;0;0;132.713;132.713;25.136.661;58.201.544;30.065.264;19.889.243;108.156.050;10.305.294;118.461.344
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;03/2024;0;0;0;0;46.971;0;46.971;0;0;0;0;0;0;0;4.085.962;4.132.933;0;78.598.101;82.731.034;20.307.732;103.038.766
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;03/2024;880.357;0;601.551;6.205.438;0;186.080;7.873.426;3.471.874;0;0;393.328;0;622.583;1.015.911;12.696.966;25.058.176;4.336.337;54.325.388;83.719.902;4.047.106;87.767.007
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;03/2024;2.149.338;0;333.897;39.477.984;5.137.843;450;47.099.513;3.458.839;504.101;630.657;852.819;0;0;1.987.576;0;52.545.928;60.846;20.774.749;73.381.523;3.243.282;76.624.805
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2024;1.342.252;0;1.005.547;21.157.192;0;12.553;23.517.544;7.626.179;2.025.798;2.576.129;20.384.001;2.977.727;0;27.963.655;4.575.586;63.682.964;151.479;6.076.452;69.910.894;6.423.701;76.334.595
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;03/2024;2.801.720;1.127.544;1.509.331;6.179.203;0;3.396.447;15.014.245;3.590.307;0;0;35.570;0;0;35.570;2.724.495;21.364.618;99.518;34.051.740;55.515.875;11.335.439;66.851.314
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;03/2024;1.707.491;1.549.652;1.681.142;29.885.549;0;0;34.823.834;1.075.015;7.937.578;140.688;143.334;0;27.939;8.249.539;102.020;44.250.407;13.893;9.981.660;54.245.960;7.352.803;61.598.763
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;03/2024;378.181;0;582.508;9.372.776;0;0;10.333.465;1.671.471;1.732.993;3.264.042;16.283.859;0;2.766;21.283.659;9.386.338;42.674.933;1.784.014;9.645.411;54.104.358;6.147.059;60.251.418
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;03/2024;0;0;1.268.753;26.532.537;2.255.673;0;30.056.963;6.093;0;0;3.345.124;0;0;3.345.124;900.233;34.308.413;17.543;14.530.221;48.856.177;10.981.063;59.837.240
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;03/2024;38.626;0;114.329;809.024;0;0;961.978;2.240.377;2.029.808;3.800.579;1.755.021;0;0;7.585.407;24.530.937;35.318.700;1.020.377;15.266.157;51.605.235;5.376.561;56.981.796
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;03/2024;1.370.156;2.601.935;503.882;27.998.638;100.388;8.152;32.583.151;1.774.494;7.100.028;25.706;0;0;0;7.125.734;410.023;41.893.402;0;5.723.265;47.616.667;2.565.921;50.182.588
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;03/2024;1.905.651;722.973;362.389;2.792.625;0;6.285.008;12.068.645;99.994;0;813.706;0;0;0;813.706;469.586;13.451.930;0;28.628.932;42.080.862;6.113.977;48.194.840
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;03/2024;363.805;0;85.366;29.013.556;301;0;29.463.028;3.512.056;18.551;90.032;1.410.627;0;2.319.726;3.838.936;721.149;37.535.169;105.979;3.930.584;41.571.732;3.986.038;45.557.770
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;03/2024;0;0;7.899.748;14.200.416;0;0;22.100.164;0;0;0;11.208.506;0;0;11.208.506;1.793.789;35.102.459;133.044;4.582.294;39.817.798;4.228.745;44.046.543
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;03/2024;1.130.449;4.283.248;197.609;17.590.975;0;7.800;23.210.081;15.068.832;272.312;343.586;0;0;0;615.899;118.929;39.013.741;0;1.405.750;40.419.491;2.271.978;42.691.470
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;03/2024;139.260;0;0;2.777.200;0;0;2.916.460;1.028.029;0;0;0;0;0;0;5.614.287;9.558.776;232.219;31.382.396;41.173.391;1.506.906;42.680.297
