Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2024;2.694.659.039;963.416.272;2.492.166.551;1.904.936.012;202.492.488;10.446.550;227.249.756;17,42%;18,54%;2.106;1.098
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2024;2.442.219.639;1.050.086.055;2.263.595.555;1.941.501.583;178.624.084;9.078.916;185.841.208;14,66%;17,37%;4.007;508
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2024;1.982.089.331;1.210.501.703;1.879.718.094;1.690.590.922;102.371.237;3.005.727;130.975.889;16,20%;9,68%;3.262;924
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2024;1.686.086.260;689.427.660;1.522.362.764;1.273.427.501;163.723.497;5.234.933;151.190.227;15,10%;24,95%;2.433;983
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;2;SAO PAULO;SP;09/2024;1.311.147.746;535.044.762;1.211.687.242;921.715.031;99.460.504;3.419.437;104.884.958;15,21%;19,05%;2.488;1.500
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2024;807.103.064;324.325.430;637.944.364;143.189.788;169.158.701;5.648.834;202.101.617;31,91%;1,03%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2024;588.589.912;150.361.242;526.081.068;409.346.449;62.508.844;3.068.109;70.400.638;16,42%;25,81%;68;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2024;309.584.614;116.603.766;287.408.182;227.970.947;22.176.432;762.086;30.317.624;17,44%;24,57%;178;6
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2024;251.665.153;28.023.559;242.732.005;169.331.817;8.933.147;229.724;8.504.011;13,70%;21,15%;14;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;09/2024;219.220.531;109.848.165;202.952.458;140.644.018;16.268.074;2.499.098;18.235.931;15,78%;NA%;8;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;2;SAO PAULO;SP;09/2024;204.751.763;33.915.225;191.342.057;125.891.102;13.409.706;630.867;13.141.186;16,55%;2,82%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;09/2024;184.684.929;34.660.176;179.714.494;159.783.657;4.970.435;-31.829;6.875.562;20,38%;1,54%;7;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;2;SAO PAULO;SP;09/2024;164.783.305;2.777.355;153.978.893;79.644.477;10.804.412;281.334;10.778.025;26,47%;0,81%;9;0
BANCOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;09/2024;152.308.116;29.343.922;147.648.196;125.052.187;4.659.919;144.712;5.192.270;19,71%;12,04%;8;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2024;143.493.595;76.282.724;128.927.315;104.425.378;14.566.280;515.325;13.862.523;16,23%;7,91%;8;5
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2024;140.890.846;57.669.898;130.633.755;116.785.876;10.257.090;197.102;11.113.738;17,92%;10,73%;500;41
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;09/2024;99.700.894;1.052.938;82.702.154;3.403.217;16.998.740;244.331;5.676.639;20,84%;NA%;1;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;09/2024;98.561.974;52.406.925;93.970.454;70.226.339;4.591.520;827.914;5.187.260;12,76%;18,07%;6;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;2;SAO PAULO;SP;09/2024;97.616.680;8.894.624;93.745.794;25.843.011;3.870.886;-25.900;5.658.305;18,23%;1,09%;2;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;09/2024;79.115.731;45.807.388;72.006.874;64.300.231;7.108.857;450.638;8.133.839;14,79%;18,30%;56;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2024;77.377.045;39.228.303;72.480.918;62.103.769;4.896.128;236.650;4.882.747;10,53%;11,23%;18;5
