Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;12/2024;70.065.622;17.153.023;56.011.907;25.065.904;14.053.716;1.321.625;15.713.683;14,35%;2,08%;298;1
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;12/2024;66.125.223;17.370.889;61.891.064;35.342.049;4.234.158;226.855;3.870.093;15,68%;NA%;3;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;12/2024;61.795.278;42.762.798;58.076.544;51.349.801;3.718.734;226.932;4.591.276;13,03%;15,58%;112;135
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2024;61.588.317;36.325.458;56.452.688;44.483.768;5.135.630;176.455;6.879.014;12,95%;0,56%;19;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2024;54.315.898;32.341.385;47.784.807;14.327.017;6.531.091;592.881;NI;NI%;NI%;115;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2024;53.195.711;46.667.201;47.968.399;43.025.764;5.227.313;310.483;5.292.039;12,48%;0,12%;3;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2024;49.328.526;2.257.457;43.371.805;25.311.173;5.956.721;649.745;5.956.721;19,32%;1,44%;3;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;12/2024;48.919.167;301.780;44.873.350;19.506.536;4.045.817;487.237;4.046.068;27,08%;0,54%;4;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2024;48.543.894;26.354.591;44.238.152;40.109.245;4.305.742;218.784;3.735.761;13,21%;27,94%;35;2
STONE IP - PRUDENCIAL;1000084686;n1;S4;C;3;SAO PAULO;SP;12/2024;48.371.991;1.100.433;39.292.866;17.543.679;9.079.125;202.427;2.918.228;16,95%;NA%;5;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;12/2024;42.364.593;2.332.144;41.156.077;13.965.288;1.208.517;86.621;1.145.718;20,70%;0,39%;2;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;12/2024;36.971.026;11.755.654;34.613.813;33.103.115;2.357.214;224.025;1.974.411;14,01%;17,77%;91;63
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;12/2024;34.964.454;2.174.820;33.414.683;7.155.526;1.549.771;35.442;1.517.673;31,36%;0,72%;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;12/2024;34.005.614;13.650.450;32.611.577;25.773.361;1.394.037;132.586;2.228.790;14,72%;0,54%;8;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;12/2024;30.505.151;2.113.487;27.803.497;11.575.965;2.701.653;72.995;2.701.653;23,05%;0,92%;2;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;12/2024;30.024.685;23.993.869;27.304.924;21.274.667;2.719.761;428.770;2.443.053;13,98%;40,28%;4;237
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;12/2024;29.259.678;28.039.483;26.605.871;24.504.560;2.653.807;4.270;3.283.543;13,52%;0,11%;2;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2024;28.277.821;15.167.102;26.547.058;24.433.457;1.730.763;-165.893;2.885.433;13,97%;5,52%;2;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;12/2024;27.853.076;9.866.553;26.621.768;22.484.975;1.231.308;131.732;1.707.115;14,54%;16,76%;5;0
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;12/2024;27.743.609;10.471.133;25.771.886;20.016.008;1.971.723;310.666;1.098.552;9,69%;NA%;7;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2024;26.951.001;8.644.057;24.234.623;13.859.137;2.716.378;106.547;2.640.857;17,71%;0,50%;2;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2024;26.935.272;0;9.927.037;414;17.008.235;111.298;16.976.153;44,60%;1,98%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;12/2024;26.086.412;223.056;24.685.253;462.622;1.401.159;66.455;711.057;14,38%;12,80%;0;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;26.063.574;17.127.666;23.937.777;21.694.402;2.125.797;407.337;2.471.431;18,07%;24,94%;11;253
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;12/2024;25.591.518;21.510.487;21.095.619;19.427.470;4.495.898;342.863;4.463.994;17,51%;0,88%;4;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S4;C;3;SAO PAULO;SP;12/2024;24.590.306;691.685;22.972.885;5.401.249;1.617.421;-61.026;1.564.011;39,08%;0,33%;4;0
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;12/2024;24.527.809;3.702.579;17.488.454;5.601.888;7.039.355;334.717;6.604.535;36,96%;0,61%;15;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;12/2024;24.208.835;2.300.969;18.432.904;4.886.666;5.775.931;333.528;5.807.514;23,88%;1,18%;4;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;12/2024;22.726.041;3.174.519;21.397.749;9.215.579;1.328.292;130.486;1.729.772;18,86%;0,52%;2;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;12/2024;22.219.875;13.654.848;20.204.456;17.901.166;2.015.418;-37.631;2.991.695;19,25%;0,92%;16;1
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;12/2024;21.338.055;21.560.586;17.750.176;3.646.414;3.587.880;138.919;2.739.352;16,38%;2,66%;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;C;2;SAO PAULO;SP;12/2024;21.022.036;18.870.915;19.360.490;3.136.552;1.661.547;270.085;2.532.340;13,08%;6,57%;5;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;12/2024;20.931.833;6.535.345;19.679.641;18.410.356;1.252.191;39.089;964.699;11,31%;2,33%;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2024;20.777.864;19.619.726;18.168.214;17.296.364;2.609.650;97.921;2.598.434;13,98%;0,53%;4;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S4;C;3;SAO PAULO;SP;12/2024;19.620.583;17.204.150;15.288.317;13.692.227;4.332.266;268.375;2.800.694;17,87%;0,06%;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S3;I;2;BELO HORIZONTE;MG;12/2024;18.684.390;1.148.308;17.942.662;0;741.729;25.412;384.810;13,61%;2,85%;0;0
