Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;1.477.952;0;7.958.832;336.823;178.047;103.645;10.055.300;-7.836.130;-113.431;0;0;-268.936;-8.218.497;1.836.802;2.692.183;548.114;-1.022.490;-2.725.886;-347.553;452.573;386.536;-1.043.698;-1.060.222;776.581;4.478;781.059;213.394;-711.256;283.197;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;C;2;PORTO ALEGRE;RS;12/2023;4.431.055;0;3.737.536;-28.203;55.344;205.051;8.400.783;-6.541.266;-948.339;0;0;2.550;-7.487.055;913.728;46.031;2.636;-60.496;-840.365;-56.931;6.091;263.306;-267.218;-906.947;6.781;-272;6.509;61.478;-6.434;61.554;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2023;4.588.630;1.690;2.818.222;153.603;60.261;647.306;8.269.713;-4.726.344;-438.757;-1.204;0;-219.409;-5.385.715;2.883.997;153.138;372.112;-1.101.138;-850.275;-177.969;512.787;178.799;-1.414.147;-2.326.694;557.303;55.186;612.489;-54.918;-126.756;430.815;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2023;741.918;4.612;4.982.683;85.626;825.651;1.090.069;7.730.559;-4.160.565;-1.294.387;-4.197;0;-48.849;-5.507.998;2.222.561;693.670;25.079;-732.094;-869.684;-211.406;0;1.141.590;-221.655;-174.501;2.048.060;76.566;2.124.626;-475.459;-99.129;1.550.038;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2023;2.421.408;0;4.023.865;2.483;2.960;92.598;6.543.315;-5.826.597;-173.969;0;0;-38.342;-6.038.909;504.406;164.443;51;-124.194;-151.406;-60.507;153.224;317.369;-322.508;-23.528;480.879;-435;480.443;-145.556;-14.114;320.773;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2023;3.726.118;863.405;1.344.520;-10.732;97.083;55.858;6.076.252;-3.165.032;-305.286;-580.246;0;-705.005;-4.755.570;1.320.681;155.403;85.340;-399.615;-630.088;-143.673;36.337;869.339;-289.624;-316.582;1.004.099;2.454;1.006.553;-268.530;-94.956;643.066;0
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;12/2023;3.989.236;0;796.325;-33.574;133.888;41.581;4.927.456;-2.472.306;-2.044;0;0;-1.191.321;-3.665.671;1.261.785;565.394;73.917;-446.769;-963.538;-176.782;54.480;214.457;-996.269;-1.675.110;-413.325;1.397;-411.928;85.759;-108.544;-434.712;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2023;107.273;0;3.512.228;-13.813;393.517;768.528;4.767.733;-1.598.118;-1.719.256;0;0;15.614;-3.301.760;1.465.973;726.326;1.821;-503.674;-230.523;-134.302;0;268.350;-80.341;47.657;1.513.630;7.292;1.520.922;-235.035;-17.627;1.268.260;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2023;3.637.359;0;715.948;27.294;40.264;0;4.420.865;-2.090.107;-37.755;0;0;-468.749;-2.596.611;1.824.254;57.866;45.981;-160.591;-1.016.916;-76.336;65.292;373.230;-948.573;-1.660.047;164.207;625;164.833;97.270;-66.048;196.054;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;12/2023;1.601.098;0;2.669.035;-49.444;33.131;11.185;4.265.004;-910.038;-1.346.297;0;0;-347.487;-2.603.822;1.661.182;1.677.229;60.320;-1.397.595;-1.067.947;-268.272;0;1.820.612;-726.859;97.488;1.758.670;6.313;1.764.983;-514.249;-71.217;1.179.517;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2023;3.414.850;0;534.668;0;2.593;27.648;3.979.759;-2.184.266;-12.151;0;0;-419.788;-2.616.205;1.363.554;67.678;85.445;-593.931;-514.824;-97.248;74.872;66.915;-235.029;-1.146.124;217.430;-30.910;186.520;3.548;-27.327;162.741;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;12/2023;3.168.149;15.500;128.839;85.440;0;0;3.397.928;-2.151.284;-201.301;-11.494;0;-483.985;-2.848.064;549.863;0;119.310;-5.791;-229.512;-81.098;31.153;272.921;-542.591;-435.608;114.255;-17.082;97.173;-126.840;0;-29.667;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2023;1.442.714;0;1.451.383;283.090;25.093;0;3.202.280;-1.937.467;-530.065;0;0;-143.972;-2.611.504;590.776;165.064;13.385;-236.911;-168.932;-64.174;72.861;241.179;-75.960;-53.488;537.288;3.523;540.811;55.968;-137.098;459.681;0
