Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;09/2025;71.287.940;18.694.576;43.765.384;55.662.682;21.820.106;15.625.259;714.661;17.081.369;14,31%;2,11%;301;1
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;09/2025;63.238.744;20.695.835;27.335.229;56.515.702;46.378.657;6.723.042;262.102;9.138.418;16,71%;0,47%;15;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;09/2025;60.398.229;35.935.979;20.362.942;53.115.179;14.740.265;7.283.049;224.768;7.361.578;14,23%;1,76%;115;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;09/2025;57.018.635;47.227.707;115.107;50.388.938;45.258.820;6.629.696;52.127;5.751.999;12,98%;0,08%;3;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;09/2025;53.243.129;35.929.923;5.428.626;47.436.684;42.473.991;5.806.445;133.564;7.730.549;15,87%;0,84%;19;0
STONE IP - PRUDENCIAL;1000084686;n1;S3;C;3;SAO PAULO;SP;09/2025;51.846.497;1.999.466;12.146;40.112.786;19.405.484;11.733.711;89.848;3.204.700;17,72%;NA%;5;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;09/2025;47.614.775;21.839.655;14.988.658;43.768.579;39.222.653;3.846.197;148.265;3.726.074;13,13%;28,13%;35;2
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;09/2025;45.679.835;32.156.062;8.312.284;40.607.943;30.299.489;5.071.892;222.644;3.429.727;13,74%;46,06%;4;318
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;09/2025;44.765.653;6.435.562;18.006.326;40.035.129;29.515.891;4.730.524;-14.272;6.490.787;18,32%;1,36%;2;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;09/2025;39.477.159;2.319.542;9.631.104;32.577.440;22.798.787;6.899.720;254.132;6.847.990;24,23%;2,00%;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;09/2025;39.224.919;12.030.223;10.489.973;36.782.568;35.293.616;2.442.351;110.665;2.113.961;14,46%;24,71%;88;62
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;09/2025;37.663.858;16.046.157;4.978.467;34.079.858;27.566.469;3.584.001;140.940;1.954.213;11,68%;NA%;7;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;09/2025;35.476.399;0;21.278.861;30.529.349;14.735.766;4.947.050;236.535;4.802.534;28,71%;0,41%;4;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;09/2025;34.780.910;14.912.946;10.124.074;33.310.377;31.139.971;1.470.533;-7.893;3.204.302;15,10%;5,39%;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;09/2025;32.387.706;20.505.840;2.085.570;30.100.195;27.233.499;2.287.511;254.936;2.889.944;16,09%;48,76%;11;298
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;09/2025;31.721.175;138.917;7.343.431;30.129.225;948.743;1.591.950;10.863;833.487;14,36%;11,44%;0;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;09/2025;30.754.368;12.371.606;13.832.065;29.498.210;23.751.676;1.256.158;103.995;1.983.777;13,66%;8,17%;5;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2025;30.455.151;0;24.522.777;11.418.456;325;19.036.696;68.896;19.036.696;43,30%;1,62%;2;0
TERRA INVESTIMENTOS DTVM - PRUDENCIAL;1000084514;n2;S4;C;2;SAO PAULO;SP;09/2025;30.330.849;0;142.312;30.244.562;1.318.842;86.287;3.610;79.729;15,69%;NA%;6;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;09/2025;28.240.394;22.929.973;2.438.549;22.831.970;21.388.428;5.408.424;159.077;5.377.607;20,84%;0,73%;4;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;09/2025;27.654.170;14.361.419;8.210.661;26.044.868;23.374.564;1.609.302;142.716;2.531.239;17,05%;0,57%;8;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;09/2025;27.234.386;23.527.547;19.369;24.481.925;22.550.223;2.752.461;-155.379;3.637.935;16,66%;0,08%;2;0
CLOUDWALK IP - PRUDENCIAL;1000086581;n1;S4;C;2;SAO PAULO;SP;09/2025;26.733.075;357.250;3.149.220;12.183.505;1.570.349;14.549.570;178.745;NI;NI%;NA%;2;0
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;C;3;SAO PAULO;SP;09/2025;26.431.135;22.040.312;1.314.282;19.350.860;18.003.645;7.080.275;223.153;3.322.545;16,08%;0,21%;4;0
