Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2024;2.636.882.506;946.459.806;2.443.588.602;1.884.371.314;193.293.904;19.963.578;215.556.905;16,56%;20,86%;2.150;1.102
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2024;2.334.367.943;1.024.504.848;2.161.635.722;1.845.389.366;172.732.221;18.173.027;175.348.301;14,19%;16,35%;4.007;512
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2024;1.907.044.008;1.175.742.235;1.807.735.638;1.617.770.675;99.308.370;5.300.681;129.887.763;16,40%;9,26%;3.375;846
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2024;1.682.417.433;658.552.579;1.521.287.541;1.277.833.567;161.129.891;8.937.210;149.119.407;15,19%;25,57%;2.608;1.051
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2024;1.279.020.308;540.556.671;1.180.740.535;900.469.651;98.279.773;6.356.898;98.725.721;14,38%;20,02%;2.531;1.481
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2024;778.001.363;323.630.388;617.931.321;127.433.871;160.070.042;13.334.996;192.311.369;31,16%;1,07%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2024;582.263.551;142.001.231;524.496.714;400.107.723;57.766.837;5.597.057;65.366.845;16,16%;21,84%;69;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2024;294.923.881;122.675.147;267.035.388;226.663.798;27.888.493;1.381.267;32.996.276;17,73%;28,77%;176;6
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2024;229.605.274;26.807.514;220.760.942;149.103.281;8.844.333;334.839;7.660.974;12,68%;23,40%;14;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;06/2024;214.500.650;101.837.593;200.136.122;134.684.439;14.364.529;4.069.332;16.574.240;15,81%;NA%;8;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2024;208.735.489;30.006.331;195.934.049;128.034.247;12.801.440;895.606;12.530.794;15,87%;3,04%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;06/2024;172.849.164;31.873.445;168.053.270;150.435.917;4.795.894;67.457;6.159.553;18,98%;1,65%;7;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2024;146.026.198;27.846.166;141.516.937;121.775.844;4.509.260;308.929;5.016.778;19,99%;11,64%;8;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2024;140.372.569;3.476.788;129.849.491;64.789.200;10.523.078;512.015;10.472.910;20,86%;0,87%;9;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2024;136.280.732;54.716.962;126.181.621;113.501.914;10.099.111;434.610;10.911.863;18,46%;10,46%;502;58
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2024;134.098.730;74.560.402;119.887.836;98.369.066;14.210.894;712.496;12.806.767;15,64%;7,27%;8;5
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;06/2024;100.538.995;888.418;80.147.539;3.667.690;20.391.456;1.038.620;9.116.259;34,54%;NA%;1;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2024;91.682.975;9.801.891;87.792.962;23.448.009;3.890.013;-55.443;5.689.236;17,52%;1,13%;2;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;06/2024;86.051.680;48.219.256;82.298.370;62.723.431;3.753.310;942.923;4.559.529;12,47%;19,97%;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2024;81.686.201;47.880.615;74.924.553;67.349.723;6.761.648;806.056;7.746.256;13,83%;16,63%;56;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;06/2024;68.248.581;13.556.433;56.684.713;22.123.832;11.563.868;1.022.805;13.158.331;13,09%;2,44%;297;1
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2024;67.603.052;21.979.274;61.349.705;46.269.917;6.253.347;483.726;8.254.526;16,31%;0,59%;15;0
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;C;2;SAO PAULO;SP;06/2024;66.937.970;2.460.702;55.598.369;40.615.403;11.339.601;774.179;9.491.445;33,36%;NA%;6;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2024;65.492.383;32.595.747;58.145.079;48.269.043;7.347.304;170.706;5.895.211;19,29%;4,35%;19;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2024;57.152.257;27.542.990;52.550.655;49.522.848;4.601.601;433.028;3.896.604;11,71%;12,46%;16;5
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2024;53.667.837;35.694.833;51.175.675;44.975.848;2.492.162;7.730;3.987.360;13,80%;16,17%;125;124
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2024;51.142.974;32.336.432;46.100.056;39.649.876;5.042.918;183.770;6.920.105;14,10%;0,54%;19;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2024;51.049.087;27.981.111;44.587.731;14.540.059;6.461.355;539.146;6.370.501;13,78%;3,20%;116;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;06/2024;46.794.943;10.188.448;43.786.932;24.492.888;3.008.010;349.110;2.626.620;13,48%;NA%;3;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2024;46.126.603;39.850.597;41.205.164;36.375.604;4.921.440;134.294;4.548.732;12,37%;0,15%;3;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2024;45.706.615;23.383.567;42.788.462;37.818.655;2.918.154;294.398;2.835.933;9,66%;NA%;9;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2024;45.631.089;24.298.466;41.510.563;37.383.896;4.120.527;201.181;3.639.779;13,90%;26,08%;35;0
