Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2024;38.782.215;66.514;27.598.171;346.720;0;1.851.863;68.645.483;-41.243.528;-3.024.572;-42.182;-625.296;-11.770.803;-56.706.381;11.939.102;4.567.188;2.243.096;-6.650.811;-3.576.849;-1.579.840;2.706.011;10.600.442;-10.933.899;-2.624.661;9.314.441;39.466;9.353.907;872.994;-1.139.339;9.087.562;0
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2024;34.422.059;198.677;24.923.350;-3.815.359;1.289.590;2.932.682;59.950.999;-39.276.568;-837.639;-5.232;0;-5.073.666;-45.193.106;14.757.893;7.157.985;2.541.563;-5.666.638;-7.041.980;-1.834.070;3.226.704;20.605.806;-22.842.757;-3.853.388;10.904.505;-88.220;10.816.286;1.898.938;-3.059.821;9.655.403;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2024;31.760.957;812.212;12.008.763;345.669;414.256;2.231.454;47.573.310;-28.909.550;-1.753.516;-618.999;0;-8.164.302;-39.446.367;8.126.943;4.704.485;2.460.185;-5.554.967;-5.367.454;-1.364.627;3.020.644;5.045.093;-6.550.248;-3.606.890;4.520.053;-86.344;4.433.708;829.045;-10.596;5.252.157;0
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;09/2024;31.629.338;0;12.339.769;447.028;23.654;2.644.134;47.083.923;-24.725.218;-7.688.625;0;0;-3.084.055;-35.497.898;11.586.025;4.774.064;1.501.133;-7.054.688;-3.135.343;-1.048.554;1.026.904;2.235.634;-7.646.249;-9.347.100;2.238.925;551.492;2.790.417;704.649;-489.339;3.005.727;0
SANTANDER;30379;b1;S1;C;2;SAO PAULO;SP;09/2024;21.559.104;512.570;11.152.650;-1.481.343;1.443.446;2.197.408;35.383.836;-20.284.402;-3.737.094;-402.544;0;-3.522.300;-27.946.338;7.437.497;3.511.413;1.417.507;-2.062.139;-3.534.939;-1.138.718;1.110.841;8.874.435;-11.464.094;-3.285.694;4.151.803;52.449;4.204.252;-71.244;-535.394;3.597.614;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2024;5.811.861;0;7.107.373;1.628.836;0;1.029.416;15.577.486;-10.641.047;-914.268;0;-32.082;240.307;-11.347.091;4.230.395;1.578.237;302.335;-787.648;-2.359.347;-362.708;1.836.005;1.616.207;-2.024.834;-201.754;4.028.641;17.947;4.046.588;-358.011;-620.292;3.068.284;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2024;9.375.248;0;4.412.536;-138.404;0;22.237;13.671.617;-1.512.314;-8.292.725;0;-12.570;371.015;-9.446.594;4.225.023;212.256;0;-308.090;-51.573;-222.920;2.897.911;603.461;-830.743;2.300.301;6.525.324;60;6.525.384;-876.464;-86;5.648.834;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;09/2024;9.660.527;0;1.350.046;191.105;0;1.019.149;12.220.826;-3.064.404;-2.667;0;-48.577;-4.255.852;-7.371.499;4.849.327;1.809;36;-349.522;-1.014.378;-450.276;999;947.511;-353.554;-1.217.373;3.631.954;132;3.632.086;-1.338.729;-2.501;2.290.857;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2024;4.337.920;354.043;2.957.997;-458.239;102.609;271.432;7.565.761;-5.702.284;-727.990;-265.921;0;1.148.675;-5.547.520;2.018.241;498.401;188.169;-833.354;-786.214;-191.734;363.774;3.255.534;-3.636.003;-1.141.428;876.813;25.257;902.070;-128.869;-12.649;760.551;0
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2024;641.497;0;5.259.639;867.064;297.691;139.803;7.205.693;-5.360.949;-31.848;0;0;-35.267;-5.428.064;1.777.629;1.268.968;320.943;-530.134;-1.387.306;-138.930;22.115;466.917;-1.261.029;-1.238.456;539.172;1.175;540.347;20.659;-331.282;229.724;0
