Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2023;2.440.500.136;907.550.410;2.250.733.212;1.818.086.992;189.766.924;16.924.245;2.327;1.061
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2023;2.153.557.982;975.463.194;1.989.356.292;1.717.390.707;164.201.691;17.876.099;4.003;536
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;12/2023;1.827.443.597;1.119.740.144;1.734.223.058;1.544.477.129;93.220.539;6.925.570;3.374;893
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2023;1.625.480.811;628.089.227;1.459.141.992;1.247.353.447;166.338.818;6.389.087;2.729;1.148
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2023;1.174.816.519;511.874.176;1.087.568.976;880.354.637;87.247.543;4.812.805;2.552;1.576
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2023;721.541.796;277.663.238;570.213.284;131.060.164;151.328.512;12.399.924;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2023;516.940.906;108.403.367;465.463.358;345.738.129;51.477.549;5.350.096;74;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2023;293.785.245;124.480.658;266.630.321;227.831.444;27.154.924;1.922.606;176;6
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;189.317.530;29.663.426;178.818.324;133.459.819;10.499.205;283.197;14;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2023;182.356.568;33.349.374;170.072.970;112.597.058;12.283.598;1.550.038;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;C;2;PORTO ALEGRE;RS;12/2023;164.040.008;28.337.603;159.247.312;143.347.228;4.792.696;61.554;6;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2023;142.083.637;73.306.325;128.652.235;104.806.016;13.431.402;585.813;7;5
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;12/2023;141.452.282;41.519.986;131.445.152;106.816.152;10.007.129;3.269.225;6;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2023;130.527.155;25.907.519;126.351.703;111.530.880;4.175.452;320.773;7;0
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;12/2023;127.263.373;0;78.320.227;0;48.943.147;1.946.081;1;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2023;123.430.189;53.669.311;113.766.848;98.137.536;9.663.341;430.815;500;62
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2023;115.198.675;3.266.494;105.187.741;73.998.148;10.010.934;1.268.260;9;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;C;2;BARUERI;SP;12/2023;115.098.435;0;102.839.631;7.759.585;12.258.804;937.507;1;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S3;C;2;SAO PAULO;SP;12/2023;103.911.131;47.223.105;92.744.171;25.898.460;11.166.961;3.019.382;1;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;12/2023;94.632.174;10.505.594;90.639.227;28.166.864;3.992.946;-48.148;2;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2023;78.530.849;48.229.465;72.394.469;63.174.336;6.136.380;643.066;56;0
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;12/2023;75.191.202;45.653.213;72.408.838;51.195.683;2.782.364;-434.712;6;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;C;3;SAO PAULO;SP;12/2023;70.776.205;0;67.375.841;695.818;3.400.363;489.434;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;12/2023;65.731.259;13.200.116;55.022.669;21.224.068;10.708.591;1.179.517;297;1
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;12/2023;59.423.338;29.061.217;52.019.731;43.289.511;7.403.607;170.105;21;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2023;58.670.141;23.906.515;52.798.412;42.604.503;5.871.729;459.681;15;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2023;49.286.552;33.963.455;46.679.115;42.186.785;2.607.437;162.741;129;106
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2023;46.745.663;27.592.371;41.429.699;32.503.775;5.315.965;405.242;19;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2023;45.212.324;25.825.035;39.328.999;12.570.480;5.883.325;779.226;116;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;n4;S4;C;3;SAO PAULO;SP;12/2023;44.349.926;0;42.426.969;9.123.954;1.922.957;99.846;1;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2023;43.917.911;23.827.246;39.992.638;32.958.012;3.925.273;196.054;35;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;12/2023;43.386.595;463.808;34.259.513;15.278.070;9.127.082;616.533;1;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;12/2023;43.161.266;37.425.538;39.341.799;34.216.111;3.819.467;-29.667;2;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2023;41.476.150;9.523.389;39.259.799;37.877.089;2.216.351;185.378;94;60
MASTER;50201;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;36.253.826;16.105.550;33.871.380;32.650.521;2.382.446;241.232;10;5
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2023;36.237.154;19.581.323;34.774.543;31.014.819;1.462.611;-747.810;9;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;n4;S4;C;3;OSASCO;SP;12/2023;33.522.846;3.830.446;31.676.567;12.472.410;1.846.279;31.782;1;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2023;33.452.017;3.001.738;28.205.250;19.585.006;5.246.768;532.099;3;0
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;12/2023;30.874.301;14.339.141;30.083.467;29.614.591;790.835;13.079;4;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2023;30.236.009;1.458.674;28.753.233;9.051.926;1.482.776;45.832;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;12/2023;27.762.852;13.239.548;26.552.901;21.015.603;1.209.952;144.860;8;0
BANCO CLASSICO S.A.;31597552;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2023;27.143.230;0;11.997.504;3.649.035;15.145.726;91.321;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2023;26.667.087;25.651.742;24.211.470;22.283.262;2.455.617;35.505;2;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;12/2023;26.643.549;3.094.114;25.566.994;12.816.199;1.076.554;97.784;2;0
BANCO HSBC S.A.;53518684;b1;S3;I;3;SAO PAULO;SP;12/2023;26.402.778;1.436.492;25.206.564;5.463.662;1.196.214;114.745;2;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2023;25.913.425;429.934;22.754.624;9.341.282;3.158.801;290.565;4;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;12/2023;24.487.016;5.173.910;21.883.100;8.628.809;2.603.916;165.075;2;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2023;21.974.103;4.549.431;15.927.982;7.087.693;6.046.121;37.057;10;0
PINE;50304;b1;S3;C;2;SAO PAULO;SP;12/2023;21.693.420;7.424.403;20.708.940;16.761.234;984.479;107.441;5;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;C;1;PORTO ALEGRE;RS;12/2023;21.098.391;17.824.654;16.997.068;15.560.683;4.101.322;276.630;4;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2023;20.588.901;19.296.133;18.203.244;17.484.914;2.385.657;56.936;4;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;12/2023;20.360.885;0;15.010.265;8.220.095;5.350.620;518.106;4;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;12/2023;19.776.212;13.996.099;18.181.950;14.434.720;1.594.262;253.117;11;257
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2023;19.738.412;630.181;18.018.476;3.165.704;1.719.936;31.482;4;0
AGIBANK;51956;b1;S4;C;2;CAMPINAS;SP;12/2023;19.428.402;15.773.251;17.940.684;14.472.530;1.487.718;282.509;4;1
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;12/2023;19.210.916;64.293;18.130.815;359.340;1.080.101;71.228;0;0
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;12/2023;18.912.165;18.779.299;15.702.990;3.518.752;3.209.175;108.989;2;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2023;18.542.776;9.792.811;16.922.432;14.976.983;1.620.344;-3.552;14;0
BANCO JOHN DEERE S.A.;91884981;b1;S3;I;3;INDAIATUBA;SP;12/2023;18.504.509;17.435.533;15.900.610;15.596.431;2.603.899;177.206;2;0
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;12/2023;17.155.295;16.887.074;16.117.838;3.308.882;1.037.457;68.613;4;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;12/2023;17.063.590;12.940.912;15.155.282;14.535.968;1.908.308;166.035;161;34
SCOTIABANK;52230;b1;S3;C;3;SAO PAULO;SP;12/2023;17.027.168;293.785;13.578.625;12.375.052;3.448.543;227.309;4;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;12/2023;16.795.587;2.119.396;13.941.831;8.280.606;2.853.757;171.561;2;0
BANCO VOLVO BRASIL S.A.;58017179;b2;S3;C;3;CURITIBA;PR;12/2023;16.498.677;14.447.199;13.775.072;13.611.796;2.723.605;167.340;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S4;I;3;PORTO ALEGRE;RS;12/2023;15.875.241;15.206.224;14.440.570;12.825.582;1.434.671;67.321;3;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;12/2023;15.739.865;1.191.364;15.143.934;534;595.931;31.145;0;0
SOFISA;31873;b1;S3;C;2;SAO PAULO;SP;12/2023;15.418.426;8.463.716;14.332.556;13.526.158;1.085.870;67.603;23;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;12/2023;15.331.783;134.650;14.377.582;1.049.249;954.201;46.238;0;0
BANCO FIBRA S.A.;58616418;b1;S3;C;2;SAO PAULO;SP;12/2023;14.914.359;4.755.635;13.706.406;12.832.181;1.207.953;33.866;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;12/2023;14.563.256;5.986.928;11.925.695;10.021.675;2.637.561;231.115;0;129
BANCO GM S.A.;59274605;b2;S3;C;3;SAO PAULO;SP;12/2023;13.762.993;10.698.763;11.008.468;9.041.829;2.754.525;225.866;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;12/2023;13.563.920;424;13.041.026;1.136.795;522.894;29.672;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;12/2023;12.835.783;8.228.603;10.356.658;9.357.017;2.479.124;176.364;0;115
SCANIA BANCO S.A.;11417016;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;12/2023;12.704.987;12.528.731;11.542.391;11.294.740;1.162.596;74.910;2;0
