Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2024;2.528.221.721;901.888.825;2.343.641.787;1.861.763.613;184.579.935;9.507.788;2.227;1.082
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2024;2.282.609.423;1.002.458.976;2.113.227.456;1.811.597.470;169.381.967;9.087.783;4.006;530
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;03/2024;1.878.783.229;1.144.247.533;1.783.168.686;1.594.669.342;95.614.543;2.272.516;3.374;895
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2024;1.659.193.708;636.339.422;1.493.233.927;1.259.709.110;165.959.781;4.269.416;2.784;1.105
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2024;1.191.211.330;520.621.813;1.103.058.216;888.082.061;88.153.114;3.085.692;2.538;1.575
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2024;732.036.183;281.124.087;577.048.215;128.411.582;154.987.968;5.237.433;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2024;578.228.452;115.864.358;524.181.849;382.800.737;54.046.604;2.773.873;74;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2024;287.630.194;119.736.396;260.338.622;217.931.661;27.291.572;667.172;176;6
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2024;213.821.161;29.206.856;205.085.308;145.927.147;8.735.854;70.435;14;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2024;196.791.364;28.747.661;183.979.370;125.836.768;12.811.994;627.390;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S2;C;2;PORTO ALEGRE;RS;03/2024;164.529.512;30.252.092;159.722.711;143.203.579;4.806.801;49.581;6;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2024;137.864.830;26.417.819;133.518.729;116.425.861;4.346.102;169.271;7;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2024;135.666.109;74.030.866;122.203.798;96.916.092;13.462.312;318.377;7;5
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;03/2024;135.187.844;0;85.728.615;0;49.459.229;772.687;1;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;03/2024;127.867.014;49.145.606;117.100.674;110.877.808;10.766.341;1.836.677;6;0
