Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2021;1.989.883.494;819.065.183;1.834.486.526;1.418.012.319;155.396.968;13.876.644;2.899;944
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2021;1.919.468.973;784.950.534;1.784.614.895;1.522.430.012;134.854.078;9.998.914;3.989;690
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;12/2021;1.448.893.554;867.646.057;1.372.738.585;1.184.390.205;76.154.968;5.621.478;3.375;907
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2021;1.424.533.152;608.764.681;1.273.870.950;1.073.681.609;150.662.202;9.996.498;2.977;1.425
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2021;994.939.032;462.171.501;913.749.763;717.941.743;81.189.269;8.033.114;2.611;1.993
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2021;774.202.721;269.374.211;647.205.695;264.154.062;126.997.027;18.953.009;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2021;374.163.125;101.348.079;335.128.398;244.223.096;39.034.727;3.118.845;48;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2021;235.636.758;112.114.727;220.571.151;187.252.146;15.065.607;1.022.305;121;4
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2021;133.720.263;28.961.607;123.129.807;79.757.606;10.590.455;1.071.405;57;8
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2021;120.228.843;66.492.854;108.300.294;85.931.319;11.928.549;747.999;9;29
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2021;109.192.022;4.138.733;102.161.959;75.243.301;7.030.062;652.401;9;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2021;104.115.621;41.041.975;95.068.443;80.199.710;9.047.178;404.374;516;127
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;12/2021;101.596.407;0;56.751.422;0;44.844.985;619.377;1;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2021;98.646.690;0;88.756.102;4.035.929;9.890.589;548.797;1;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2021;92.198.411;12.844.037;86.373.558;69.221.778;5.824.853;24.262;6;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;12/2021;83.117.785;17.513.354;80.667.908;72.806.371;2.449.876;78.748;6;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2021;75.607.672;16.488.608;73.133.387;62.885.957;2.474.285;103.211;7;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2021;74.183.714;16.827.393;69.720.790;29.571.639;4.462.923;141.831;7;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2021;62.616.476;41.969.163;57.635.198;49.253.847;4.981.278;680.861;52;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;12/2021;60.302.034;15.555.040;52.823.007;18.292.632;7.479.028;908.070;296;2
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;S1;I;3;SAO PAULO;SP;12/2021;58.318.966;0;55.672.223;3.489.141;2.646.743;286.189;1;0
NUBANK;52058;n1;S4;C;2;SAO PAULO;SP;12/2021;53.151.478;15.600.961;49.059.033;44.337.279;4.092.444;497.126;6;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;;I;2;SAO PAULO;SP;12/2021;51.435.170;24.650.701;48.254.636;13.299.438;3.180.534;-238.315;1;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2021;48.297.811;23.116.141;43.628.347;33.647.278;4.669.464;313.426;14;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2021;46.197.076;27.256.029;41.314.244;30.236.983;4.882.831;430.497;19;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2021;44.469.724;10.546.979;38.626.088;27.026.827;5.843.637;-164.017;10;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;12/2021;36.495.919;16.897.285;28.006.436;23.263.736;8.489.483;10.388;21;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;12/2021;35.430.701;3.142.076;33.053.279;7.640.914;2.377.422;21.782;5;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2021;34.398.538;15.971.160;30.535.596;26.518.106;3.862.942;90.625;37;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2021;33.931.307;6.379.709;32.041.641;30.866.969;1.889.666;136.397;105;51
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;12/2021;32.520.124;0;31.324.037;4.582.769;1.196.087;-101.691;1;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2021;30.555.181;20.777.288;28.024.027;25.128.283;2.531.154;295.556;129;27
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2021;30.278.228;814.790;26.486.489;14.817.814;3.791.740;357.682;3;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;12/2021;27.928.566;23.662.645;25.104.347;19.870.028;2.824.219;86.140;2;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2021;26.797.071;2.659.137;25.462.914;7.458.324;1.334.157;18.012;2;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2021;25.952.485;11.278.147;23.007.532;7.609.115;2.944.953;435.201;119;0
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;12/2021;24.376.755;409.593;15.841.308;1.435.121;8.535.447;581.131;1;0
C6 BANK;52072;b1;S4;C;2;SAO PAULO;SP;12/2021;24.145.490;14.370.359;21.790.444;16.628.342;2.355.046;-452.032;6;1
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2021;23.471.126;1.503.900;21.926.554;4.213.186;1.544.572;-17.325;4;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2021;22.361.982;12.840.083;19.946.169;18.065.619;2.415.812;7.995;6;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;12/2021;22.257.354;13.096.132;19.615.441;18.691.284;2.641.912;82.602;44;3
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;12/2021;22.239.984;0;17.916.949;10.514.976;4.323.035;271.347;4;0
BANCO HSBC S.A.;53518684;b1;S4;I;3;SAO PAULO;SP;12/2021;19.372.595;2.644.694;18.379.081;6.600.988;993.515;-309;2;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2021;18.768.605;109.197;16.405.577;7.770.102;2.363.028;168.372;4;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2021;18.302.459;10.440.370;17.195.244;14.288.621;1.107.214;6.743;14;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;12/2021;17.138.466;13.983.367;13.740.152;12.576.017;3.398.314;136.117;4;0
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;12/2021;15.937.242;0;5.973.843;1.496.502;9.963.399;89.861;2;0
PINE;50304;b1;S3;C;2;SAO PAULO;SP;12/2021;15.367.133;4.276.050;14.588.001;12.326.764;779.133;4.159;4;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2021;15.101.636;14.416.501;12.867.671;12.224.825;2.233.966;77.456;4;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;12/2021;14.853.313;7.782.243;14.012.505;12.687.712;840.808;83.859;8;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2021;14.402.922;13.918.829;12.837.403;12.396.910;1.565.520;121.696;2;0
SCOTIABANK;52230;b1;S4;C;3;SAO PAULO;SP;12/2021;14.205.118;2.565.187;12.939.290;7.323.733;1.265.827;121.059;4;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;12/2021;14.174.079;13.194.315;11.313.184;2.195.370;2.860.894;274.554;2;0
MERCADOPAGO.COM REPRESENTACOES LTDA.;10573521;n4;;I;2;OSASCO;SP;12/2021;14.057.875;1.406.601;13.732.147;5.026.085;325.728;-137.276;1;0
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;12/2021;13.458.066;12.923.843;12.278.667;3.091.041;1.179.399;102.047;4;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;12/2021;12.580.619;8.904.340;11.409.184;9.608.126;1.171.435;86.450;34;244
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;12/2021;12.518.707;8.424.013;10.880.010;10.520.406;1.638.698;120.915;147;34
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;12/2021;11.898.300;2.246.961;11.084.635;7.359.235;813.664;31.846;2;0
BANCO FIBRA S.A.;58616418;b1;S3;I;2;SAO PAULO;SP;12/2021;11.828.442;3.839.826;10.663.008;9.415.165;1.165.434;-14.165;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;12/2021;11.817.440;2.231.945;9.528.894;5.630.207;2.288.546;94.909;2;0
