Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2022;2.221.407.940;880.275.310;2.055.942.216;1.587.565.604;165.465.724;8.279.577;2.665;926
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2022;2.127.442.384;861.621.459;1.979.541.759;1.685.461.826;147.900.625;8.209.955;3.991;631
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2022;1.674.914.143;644.835.076;1.514.144.655;1.195.160.332;160.769.489;5.194.177;2.939;1.343
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;09/2022;1.561.332.997;977.017.151;1.476.516.990;1.288.889.402;84.816.007;3.587.831;3.375;922
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2022;1.035.799.883;483.579.978;950.798.964;757.504.057;85.000.919;3.141.506;2.597;1.565
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2022;753.872.468;274.612.508;616.826.559;231.842.248;137.045.909;9.586.343;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2022;431.902.952;111.635.102;387.480.552;302.463.864;44.422.400;2.022.179;61;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2022;248.546.045;125.142.624;232.151.877;193.312.668;16.394.168;639.185;126;4
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2022;155.653.342;28.608.149;143.507.765;87.793.234;12.145.578;398.300;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;09/2022;147.679.398;20.658.462;144.427.612;133.098.944;3.251.785;52.852;6;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2022;133.491.819;20.445.798;125.064.017;93.144.550;8.427.802;-26.573;8;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2022;129.447.773;67.399.319;116.827.000;90.045.424;12.620.773;384.253;9;19
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2022;112.816.391;47.440.553;103.810.631;88.334.927;9.005.761;71.944;501;129
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2022;106.083.628;3.622.576;98.470.197;68.298.080;7.613.430;105.168;9;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;09/2022;105.753.338;19.264.559;102.874.583;88.677.593;2.878.755;94.101;7;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;I;2;BARUERI;SP;09/2022;105.463.880;0;94.631.379;4.363.669;10.832.500;421.741;1;0
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;09/2022;103.088.548;0;58.894.692;0;44.193.856;865.651;1;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;09/2022;77.031.553;16.182.778;72.732.491;33.527.799;4.299.062;-232.340;7;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;09/2022;72.907.101;24.052.488;68.075.659;63.343.864;4.831.441;231.822;6;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2022;67.993.987;44.598.679;62.546.743;54.203.007;5.447.244;256.833;54;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;;I;2;SAO PAULO;SP;09/2022;65.299.582;31.600.958;60.013.062;15.941.795;5.286.520;120.372;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;09/2022;63.769.068;14.111.639;55.179.877;20.648.725;8.589.191;575.106;296;2
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;I;3;SAO PAULO;SP;09/2022;54.933.349;0;51.981.554;1.234.183;2.951.795;125.244;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;09/2022;50.863.141;28.620.698;45.469.045;32.623.054;5.394.096;203.869;19;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;09/2022;50.749.346;25.321.749;45.678.621;39.266.578;5.070.725;218.148;14;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;09/2022;43.574.634;20.523.194;35.222.011;29.424.170;8.352.624;-67.446;21;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;09/2022;43.074.458;21.825.242;39.235.304;33.666.719;3.839.154;53.447;37;0
