Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2021;1.961.456.647;737.876.617;1.809.140.917;1.368.447.822;152.315.730;5.825.819;2.905;868
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2021;1.815.979.623;696.963.441;1.687.844.696;1.424.435.423;128.134.927;4.229.284;4.407;733
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2021;1.435.107.163;799.626.051;1.370.181.864;1.180.940.012;64.925.299;4.278.133;3.373;789
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2021;1.397.481.000;527.551.797;1.249.845.069;1.037.223.778;147.635.931;6.201.127;3.421;1.490
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2021;997.832.826;423.781.313;917.580.205;732.569.407;80.252.621;3.028.038;2.729;1.886
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2021;774.426.243;274.622.038;660.540.068;281.335.286;113.886.175;9.807.601;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2021;315.822.388;55.896.014;285.402.622;180.449.438;30.419.766;673.587;28;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2021;228.416.036;92.291.226;214.465.608;183.444.283;13.950.428;552.879;120;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2021;122.384.728;61.177.787;111.183.980;88.295.295;11.200.748;355.138;9;33
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2021;116.975.498;4.003.118;111.119.797;70.452.570;5.855.701;-91.992;10;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2021;116.701.032;25.336.404;106.444.686;59.412.554;10.256.346;246.840;89;8
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2021;95.408.195;36.852.226;86.828.258;74.267.552;8.579.937;278.935;521;127
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;03/2021;87.377.493;4.216.248;85.036.177;12.597.408;2.341.316;-36.634;5;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2021;81.835.807;0;72.318.868;6.993.583;9.516.939;241.262;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2021;78.774.753;15.110.688;77.231.595;71.825.057;1.543.158;28.723;6;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2021;77.077.533;13.101.628;75.010.733;65.359.717;2.066.800;57.657;7;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2021;73.368.284;15.223.425;68.876.730;31.440.586;4.491.555;10.046;7;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2021;67.757.542;5.047.396;64.172.000;47.395.585;3.585.543;42.684;6;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;03/2021;66.837.344;12.240.100;61.112.386;28.941.739;5.724.958;70.138;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2021;61.804.561;13.537.627;55.269.689;24.039.838;6.534.872;376.420;296;2
REDECARD S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;03/2021;60.339.111;0;42.915.886;0;17.423.224;96.442;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2021;53.093.098;28.497.639;48.772.040;33.191.732;4.321.058;99.833;19;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2021;52.729.684;33.315.038;47.874.025;41.320.992;4.855.659;436.693;50;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2021;47.820.280;21.249.180;43.428.328;32.927.257;4.391.953;122.406;13;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;03/2021;46.375.696;3.014.970;45.088.885;10.464.793;1.286.811;5.120;2;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;S1;I;3;SAO PAULO;SP;03/2021;44.054.600;0;41.527.855;936.996;2.526.745;56.220;1;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;03/2021;39.043.086;30.159.555;33.608.940;28.977.316;5.434.146;190.277;4;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2021;36.556.762;1.073.681;33.228.668;16.376.458;3.328.094;121.021;3;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2021;32.083.603;5.413.810;30.319.579;29.309.019;1.764.024;60.848;109;48
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2021;29.420.000;14.253.095;25.376.322;21.164.261;4.043.678;86.041;37;0
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;03/2021;28.690.520;15.512.016;27.167.845;6.935.591;1.522.675;35.033;1;0
NUBANK;52058;n1;S4;C;2;SAO PAULO;SP;03/2021;27.800.701;4.372.578;26.531.836;25.379.151;1.268.865;125.468;4;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2021;27.753.752;16.425.932;25.686.814;23.049.641;2.066.938;117.241;128;17
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;03/2021;26.129.254;0;24.795.293;2.156.440;1.333.961;45.106;1;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;03/2021;23.948.976;19.817.113;21.023.595;16.516.902;2.925.381;144.249;2;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;03/2021;23.621.224;2.577.896;22.089.397;5.681.190;1.531.827;24.645;4;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2021;21.722.361;5.794.276;19.232.186;7.378.377;2.490.175;105.483;119;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;03/2021;21.138.963;10.087.317;17.971.683;15.353.672;3.167.280;14.829;21;0
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;03/2021;20.966.562;211.916;12.305.359;578.505;8.661.204;256.034;1;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;03/2021;19.750.746;0;15.810.096;8.970.962;3.940.650;16.844;4;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;03/2021;19.177.229;11.832.635;16.615.214;15.683.193;2.562.015;27.603;44;2
CCB;32119;b1;S3;C;3;SAO PAULO;SP;03/2021;19.099.678;10.656.983;17.976.969;15.031.407;1.122.709;12.777;14;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;03/2021;18.492.036;413.163;16.320.356;6.232.200;2.171.680;55.772;4;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;03/2021;16.460.191;13.547.817;13.280.410;12.323.024;3.179.781;79.967;4;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;03/2021;15.924.923;8.380.468;13.905.338;12.835.518;2.019.585;27.076;4;0
BANCO HSBC S.A.;53518684;b1;S4;I;3;SAO PAULO;SP;03/2021;15.672.081;1.181.117;14.626.886;5.127.865;1.045.195;3.712;2;0
PINE;50304;b1;S3;C;2;SAO PAULO;SP;03/2021;14.382.371;4.266.407;13.632.317;11.110.925;750.054;530;4;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;03/2021;14.030.964;1.923.219;12.440.967;5.571.492;1.589.997;1.363;2;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;03/2021;13.922.450;13.013.451;11.771.003;11.147.307;2.151.447;68.240;4;0
C6 BANK;52072;b1;S4;C;2;SAO PAULO;SP;03/2021;12.952.635;6.864.267;11.286.624;8.490.998;1.666.011;-165.758;6;1
SCOTIABANK;52230;b1;S4;C;3;SAO PAULO;SP;03/2021;12.725.823;2.263.908;11.542.341;4.551.374;1.183.482;39.203;4;0
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;03/2021;12.707.012;0;4.657.687;1.341.948;8.049.325;-1.943;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;03/2021;12.338.139;6.724.156;11.583.485;10.175.495;754.654;15.551;8;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;03/2021;12.298.475;11.637.858;10.819.599;10.359.798;1.478.876;42.848;2;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;03/2021;12.157.853;11.065.139;9.177.371;1.250.595;2.980.482;163.051;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;03/2021;11.942.103;6.727.543;10.398.459;10.026.520;1.543.644;59.066;135;34
