Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2024;2.668.446.292;945.568.098;2.475.034.067;1.960.562.323;193.412.225;19.208.472;2.147;1.102
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2024;2.334.998.796;1.024.504.848;2.162.092.358;1.848.221.839;172.906.438;18.208.308;4.006;512
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;06/2024;1.906.943.159;1.174.696.158;1.807.968.487;1.618.106.336;98.974.672;5.300.681;3.374;846
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2024;1.706.649.324;658.077.949;1.540.788.269;1.299.735.117;165.861.054;9.038.044;2.605;1.051
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2024;1.272.247.867;534.182.377;1.183.201.151;933.153.004;89.046.716;6.235.120;2.528;1.481
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2024;772.679.810;285.779.266;612.631.458;142.844.969;160.048.352;13.334.996;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2024;604.571.790;123.483.545;549.502.649;408.866.199;55.069.141;5.597.057;68;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2024;295.999.533;122.503.182;268.137.209;228.784.806;27.862.324;1.380.009;176;6
XP;52120;b1;S2;C;2;RIO DE JANEIRO;RJ;06/2024;227.182.535;25.825.183;218.538.628;151.900.559;8.643.907;334.839;14;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2024;212.616.841;30.006.331;199.815.402;131.915.960;12.801.440;895.606;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S2;C;2;PORTO ALEGRE;RS;06/2024;172.425.955;31.873.445;167.630.071;150.439.780;4.795.884;67.457;6;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;06/2024;146.212.799;54.428.976;133.830.555;124.861.602;12.382.244;4.295.627;6;0
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;06/2024;145.910.727;27.846.166;141.403.977;122.541.004;4.506.750;308.498;7;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;06/2024;140.920.807;2.567.449;130.397.729;65.149.942;10.523.078;512.015;9;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2024;135.485.876;54.716.962;125.388.494;114.409.000;10.097.382;434.610;500;58
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;06/2024;135.099.291;0;84.912.965;0;50.186.326;1.498.170;1;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2024;133.708.266;73.931.425;120.089.155;98.066.422;13.619.111;677.986;7;5
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;C;2;BARUERI;SP;06/2024;105.333.257;0;92.975.669;3.659.770;12.357.588;888.657;1;0
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;S3;C;3;SAO PAULO;SP;06/2024;97.773.517;9.801.891;93.883.504;26.860.248;3.890.013;-55.443;2;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S3;C;2;SAO PAULO;SP;06/2024;92.264.932;49.109.340;78.015.738;10.083.265;14.249.194;4.058.067;1;0
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;06/2024;86.089.832;47.958.822;82.336.522;62.797.077;3.753.310;942.923;6;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;06/2024;81.665.728;47.880.615;74.923.268;67.349.744;6.742.460;806.056;56;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;C;1;FORTALEZA;CE;06/2024;68.212.840;13.556.433;56.684.662;22.123.832;11.528.178;1.020.119;297;1
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;06/2024;65.918.387;21.971.501;59.652.115;46.324.006;6.266.272;493.598;15;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;06/2024;65.309.274;31.874.303;58.030.082;48.295.838;7.279.192;164.562;19;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;C;3;SAO PAULO;SP;06/2024;63.974.767;0;60.474.431;1.289.818;3.500.336;308.549;1;0
MASTER;50201;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2024;56.588.111;22.538.736;52.400.272;49.737.147;4.187.839;500.649;16;5
BRB;31976;b1;S3;C;1;BRASILIA;DF;06/2024;53.092.441;34.159.363;50.603.003;45.441.819;2.489.437;7.721;125;124
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;06/2024;52.543.985;469.838;42.884.885;23.583.172;9.659.100;544.105;1;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;n4;S4;C;3;SAO PAULO;SP;06/2024;52.510.080;0;50.313.713;12.729.571;2.196.367;139.025;1;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;06/2024;51.142.974;32.336.432;46.100.056;39.649.876;5.042.918;183.770;19;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;06/2024;51.049.087;27.981.111;44.587.731;14.540.059;6.461.355;539.146;116;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;06/2024;46.286.724;24.276.444;42.166.197;34.129.302;4.120.527;201.181;35;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;06/2024;46.150.561;39.850.597;41.468.914;36.675.680;4.681.647;134.294;2;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;06/2024;44.447.445;25.742.415;42.489.005;38.008.415;1.958.440;317.464;9;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;n4;S4;C;3;OSASCO;SP;06/2024;43.730.984;5.968.774;41.049.523;16.798.431;2.681.462;664.677;1;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;06/2024;42.658.770;1.563.369;41.136.942;7.437.161;1.521.828;31.402;2;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;06/2024;41.690.080;2.214.463;36.058.124;21.828.502;5.631.955;374.246;3;0
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;06/2024;38.571.736;20.806.610;37.752.060;37.349.398;819.676;29.148;4;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;06/2024;38.436.729;10.561.075;36.185.856;34.641.156;2.250.874;168.462;94;60
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;06/2024;37.242.826;301.432;33.688.950;14.973.042;3.553.876;396.325;4;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;06/2024;35.428.764;0;29.607.507;10.396.837;5.821.257;186.974;4;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;06/2024;32.319.437;2.665.557;31.188.358;13.040.681;1.131.079;51.706;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;06/2024;30.837.597;13.784.451;29.520.326;24.294.700;1.317.271;141.568;8;0
SOCIETE GENERALE;31859;b1;S4;C;3;SAO PAULO;SP;06/2024;30.537.158;645.462;28.834.511;4.330.688;1.702.647;-4.972;4;0
BANCO CLASSICO S.A.;31597552;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2024;27.908.824;0;12.007.541;3.138.699;15.901.283;93.154;2;0
TERRA;52113;n2;S4;C;2;SAO PAULO;SP;06/2024;27.256.697;0;27.184.954;3.308.125;71.744;1.282;6;0
BANCO HSBC S.A.;53518684;b1;S3;I;3;SAO PAULO;SP;06/2024;26.833.646;2.128.892;25.609.416;7.497.611;1.224.230;35.248;2;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;06/2024;26.506.481;7.147.464;23.838.142;12.089.788;2.668.340;66.160;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;06/2024;25.722.123;24.951.880;23.263.574;21.153.937;2.458.549;-164.891;2;0
PINE;50304;b1;S3;C;2;SAO PAULO;SP;06/2024;25.129.590;9.376.936;24.011.120;20.558.992;1.118.469;126.812;5;0
AGIBANK;51956;b1;S3;C;2;CAMPINAS;SP;06/2024;24.130.665;19.126.622;22.199.968;18.209.429;1.930.696;439.689;4;1
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;C;1;PORTO ALEGRE;RS;06/2024;23.202.523;19.810.088;18.793.550;17.502.028;4.408.973;129.590;4;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;06/2024;22.474.611;15.491.928;20.638.448;16.991.772;1.836.163;347.188;11;257
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;06/2024;22.272.454;174.951;21.115.524;300.722;1.156.930;63.054;0;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;06/2024;21.750.481;3.461.985;15.343.811;6.580.763;6.406.670;196.769;10;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2024;19.965.690;19.109.642;17.504.457;16.695.126;2.461.233;21.517;4;0
SCOTIABANK;52230;b1;S3;C;3;SAO PAULO;SP;06/2024;19.915.178;1.131.531;16.366.701;12.435.118;3.548.477;100.652;4;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;06/2024;19.416.863;1.705.449;16.747.563;8.810.641;2.669.300;-184.378;2;0
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;06/2024;19.363.063;19.425.264;15.913.649;3.412.242;3.449.414;239.762;2;0
