Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2023;2.357.281.136;897.252.194;2.178.812.290;1.725.709.382;178.468.846;16.808.519;2.463;1.004
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2023;2.080.486.246;921.659.171;1.922.521.725;1.656.318.779;157.964.521;16.842.180;3.992;674
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;06/2023;1.722.891.520;1.061.636.643;1.635.875.490;1.445.903.539;87.016.030;4.217.933;3.374;889
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2023;1.573.923.085;626.729.000;1.409.568.433;1.178.936.443;164.354.652;8.835.137;2.829;1.214
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2023;1.127.188.238;496.114.435;1.041.782.560;828.029.151;85.405.678;4.278.089;2.577;1.576
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2023;710.263.339;272.550.994;569.640.166;153.068.867;140.623.173;9.503.166;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2023;465.868.249;102.398.350;417.101.903;313.951.076;48.766.346;4.574.469;72;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2023;248.193.146;103.243.233;223.932.128;185.011.000;24.261.018;1.326.721;132;4
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2023;185.925.676;28.999.170;172.820.019;101.666.767;13.105.657;866.333;57;8
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;C;2;PORTO ALEGRE;RS;06/2023;169.664.661;23.280.342;165.425.968;151.962.991;4.238.693;155.645;6;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2023;169.385.183;24.199.458;159.401.194;107.045.533;9.983.989;107.569;8;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2023;139.369.016;71.341.158;126.464.797;94.737.625;12.904.218;564.749;7;5
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;06/2023;118.430.553;22.526.400;114.994.484;99.455.216;3.436.069;223.052;7;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2023;115.942.181;51.501.014;106.519.246;90.257.316;9.422.936;439.289;500;63
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;06/2023;113.949.158;12.826.077;109.799.775;30.327.103;4.149.383;-149.111;4;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;06/2023;107.240.387;3.777.555;98.424.239;62.876.948;8.816.148;291.861;9;0
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;C;2;SAO PAULO;SP;06/2023;107.146.007;0;60.111.599;0;47.034.408;2.050.369;1;0
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;1027058;n4;;C;2;BARUERI;SP;06/2023;102.183.364;0;90.507.820;7.406.721;11.675.544;1.149.331;1;0
NUBANK;52058;n1;S3;C;2;SAO PAULO;SP;06/2023;102.030.701;33.071.217;94.816.562;87.224.623;7.214.139;1.693.492;6;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;06/2023;73.782.779;45.231.464;67.796.152;58.193.400;5.986.628;458.863;54;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S3;C;2;SAO PAULO;SP;06/2023;68.409.244;38.914.991;60.252.303;9.119.149;8.156.941;1.679.687;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;06/2023;66.816.705;13.827.428;56.954.384;20.945.508;9.862.321;918.782;296;1
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A. INSTITUIÇÃO DE PAGAMENTO;10440482;n4;S1;C;3;SAO PAULO;SP;06/2023;62.533.075;0;59.407.699;1.603.892;3.125.375;350.063;1;0
C6 BANK;52072;b1;S3;C;2;SAO PAULO;SP;06/2023;55.754.512;37.384.810;52.470.649;41.566.583;3.283.864;-473.487;6;1
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;06/2023;52.983.404;22.967.049;47.562.592;39.838.514;5.420.811;391.901;15;0
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;06/2023;49.349.199;24.665.092;42.092.730;35.405.791;7.256.468;26.562;21;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;06/2023;47.551.668;28.874.534;42.285.509;33.163.910;5.266.159;407.468;19;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;06/2023;45.413.713;31.911.190;43.007.460;39.124.055;2.406.253;42.140;131;102
BMG;30290;b1;S3;C;2;SAO PAULO;SP;06/2023;44.443.198;23.958.252;40.603.716;34.062.422;3.839.482;8.614;35;0
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;06/2023;40.760.173;21.021.981;35.297.560;11.710.289;5.462.613;565.925;117;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;b1;S3;C;3;SAO PAULO;SP;06/2023;40.565.925;5.241.439;38.001.255;11.763.798;2.564.670;49.778;2;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;C;3;SAO PAULO;SP;06/2023;39.774.429;34.386.358;36.344.031;31.981.832;3.430.399;151.156;2;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;06/2023;38.634.767;8.829.986;36.541.441;35.029.036;2.093.326;185.242;97;59
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;06/2023;38.346.893;1.903.148;36.914.784;8.438.090;1.432.110;39.665;2;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;06/2023;36.660.526;1.260.995;31.715.736;17.177.837;4.944.790;403.636;3;0
BANCO HSBC S.A.;53518684;b1;S3;I;3;SAO PAULO;SP;06/2023;35.916.759;1.431.745;34.836.153;6.363.549;1.080.606;15.383;2;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;06/2023;34.966.156;435.992;32.084.750;12.162.603;2.881.406;26.965;4;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;06/2023;34.403.733;17.828.167;32.255.954;28.941.756;2.147.779;-774.134;8;0
STONE INSTITUIÇÃO DE PAGAMENTO S.A.;16501555;n4;S5;C;3;SAO PAULO;SP;06/2023;33.560.374;0;31.803.280;5.228.053;1.757.094;272.859;1;0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.;8561701;n4;S4;C;2;SAO PAULO;SP;06/2023;27.556.685;433.983;17.747.008;965.621;9.809.677;517.732;1;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;06/2023;27.503.589;6.050.108;21.023.805;12.795.406;6.479.784;79.380;10;0
MASTER;50201;b1;S4;C;2;RIO DE JANEIRO;RJ;06/2023;27.349.683;11.600.541;25.494.339;24.510.521;1.855.344;290.556;8;5
BANCO CLASSICO S.A.;31597552;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2023;24.338.460;0;9.854.905;2.000.569;14.483.555;143.813;2;0
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;06/2023;24.312.043;12.408.355;23.205.039;20.465.690;1.107.004;129.461;8;0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.;10573521;n4;S4;C;3;OSASCO;SP;06/2023;23.695.395;2.254.850;21.900.431;8.801.578;1.794.964;424.335;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;06/2023;22.446.735;21.598.161;20.122.980;18.430.952;2.323.755;107.677;2;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;06/2023;21.958.346;0;16.777.668;8.010.649;5.180.677;168.393;4;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;06/2023;21.595.926;10.504.434;19.971.459;15.438.478;1.624.467;-15.978;14;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;06/2023;21.523.100;787.724;19.842.931;3.501.538;1.680.169;12.239;4;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;06/2023;21.438.713;12.194.801;18.657.200;17.496.671;2.781.514;38.879;44;4
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;S3;I;3;SAO PAULO;SP;06/2023;20.928.235;2.487.003;18.428.531;9.075.289;2.499.704;21.529;2;0
SCOTIABANK;52230;b1;S3;C;3;SAO PAULO;SP;06/2023;20.710.245;315.346;17.459.698;15.135.227;3.250.547;98.608;4;0
PAGBANK-PAGSEGURO;52182;b1;S4;C;2;SAO PAULO;SP;06/2023;20.676.487;1.098.549;19.898.345;19.299.398;778.141;33.980;4;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;C;1;PORTO ALEGRE;RS;06/2023;19.787.872;16.513.009;15.735.722;14.531.687;4.052.150;240.619;4;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;06/2023;19.097.462;18.418.678;16.760.476;16.157.006;2.336.986;73.204;4;0
PINE;50304;b1;S3;C;2;SAO PAULO;SP;06/2023;17.971.952;6.718.956;17.033.594;14.307.414;938.358;73.437;5;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S3;I;2;BELO HORIZONTE;MG;06/2023;17.520.189;208.160;16.595.599;263.747;924.590;54.008;0;0
MERCANTIL DO BRASIL;20152;b1;S3;C;2;BELO HORIZONTE;MG;06/2023;17.320.820;12.715.462;15.896.064;13.164.498;1.424.756;168.737;11;260
BANCO CSF S.A.;8357240;b2;S3;I;2;SAO PAULO;SP;06/2023;17.299.719;16.947.396;14.201.442;3.895.353;3.098.278;74.419;2;0
BANCO JOHN DEERE S.A.;91884981;b1;S3;I;3;INDAIATUBA;SP;06/2023;16.885.634;15.932.874;14.734.684;14.522.793;2.150.951;145.097;2;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;S4;I;3;SAO PAULO;SP;06/2023;16.380.318;4.385.246;15.393.275;7.825.021;987.043;53.149;2;0
AGIBANK;51956;b1;S4;C;2;CAMPINAS;SP;06/2023;15.806.436;12.504.599;14.586.886;11.191.030;1.219.550;146.560;4;1
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;06/2023;15.495.454;11.890.066;13.686.951;13.062.177;1.808.503;115.093;159;34
PORTO SEGURO;51444;n1;S3;C;2;SAO PAULO;SP;06/2023;15.479.193;15.561.115;14.479.664;3.268.596;999.530;-63.567;4;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;06/2023;14.987.932;112.800;14.091.787;1.317.575;896.145;38.048;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;S4;C;3;CURITIBA;PR;06/2023;14.762.366;12.664.629;12.193.087;12.077.702;2.569.279;154.704;2;0
BANCO FIBRA S.A.;58616418;b1;S3;C;2;SAO PAULO;SP;06/2023;13.831.494;3.703.918;12.664.375;11.255.376;1.167.119;-21.460;2;0
SOFISA;31873;b1;S4;C;2;SAO PAULO;SP;06/2023;13.321.623;7.780.362;12.272.731;11.582.750;1.048.892;63.486;23;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;06/2023;13.308.924;753.408;12.737.557;503;571.368;27.699;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S4;I;3;PORTO ALEGRE;RS;06/2023;13.297.110;12.611.482;11.895.258;10.369.005;1.401.852;37.360;3;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;06/2023;13.229.290;6.341.870;10.745.919;8.880.203;2.483.371;220.153;0;129
WARREN;52333;n2;S4;C;2;PORTO ALEGRE;RS;06/2023;13.001.744;0;12.916.058;12.864.540;85.686;6.264;4;0
BANCO GM S.A.;59274605;b2;S3;C;3;SAO PAULO;SP;06/2023;12.173.545;8.923.970;9.353.694;7.571.489;2.819.851;106.839;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;06/2023;12.062.308;597;11.615.949;1.527.241;446.358;28.736;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;06/2023;11.799.292;7.812.731;9.373.359;8.581.492;2.425.933;150.183;0;113
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;06/2023;11.189.421;4.947.452;3.730.730;3.583.443;7.458.691;96.320;63;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S3;C;3;SAO PAULO;SP;06/2023;10.935.016;9.032.069;9.870.839;8.491.403;1.064.176;-12.600;2;0
SCANIA BANCO S.A.;11417016;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;06/2023;10.415.249;10.341.825;9.327.563;9.166.782;1.087.686;72.180;2;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;06/2023;10.161.035;5.264.060;8.935.097;7.000.673;1.225.938;107.208;0;43
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;06/2023;9.664.729;6.834.097;8.481.274;8.293.991;1.183.454;46.442;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S4;I;2;MARINGA;PR;06/2023;9.588.091;4.934.119;8.597.902;5.096.154;990.189;71.199;0;113
BR PARTNERS BANCO DE INVESTIMENTO S.A.;13220493;b2;S4;C;2;SAO PAULO;SP;06/2023;9.569.917;476.119;8.862.893;7.687.021;707.024;22.293;2;0
ADIQ INSTITUIÇÃO DE PAGAMENTO S.A.;20520298;n4;S3;C;2;BELO HORIZONTE;MG;06/2023;9.489.795;0;9.239.808;1;249.987;38.508;1;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;C;3;SAO PAULO;SP;06/2023;9.337.746;2.937.284;7.158.574;5.488.762;2.179.171;76.555;2;0
TERRA;52113;n2;S4;C;2;SAO PAULO;SP;06/2023;9.259.837;0;9.173.329;2.222.423;86.508;-3.278;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;06/2023;8.822.339;4.880.983;7.613.920;3.848.181;1.208.419;107.419;0;32
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;C;1;ARACAJU;SE;06/2023;8.627.368;3.816.801;8.029.776;7.510.843;597.592;2.670;65;9
BANCO FIDIS S/A;62237425;b2;S4;I;3;BETIM;MG;06/2023;8.610.676;7.451.496;7.352.462;7.084.848;1.258.214;107.855;2;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;06/2023;8.503.141;40.308;8.142.192;5.341.160;360.949;20.799;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;06/2023;8.193.707;5.530.531;6.053.397;4.699.954;2.140.310;31.184;2;0
MODAL;51963;b1;S4;C;2;RIO DE JANEIRO;RJ;06/2023;8.168.822;1.382.296;7.227.149;4.918.541;941.673;-306.921;6;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;06/2023;7.947.847;4.888.529;7.083.062;6.148.697;864.785;106.231;0;100
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;06/2023;7.877.952;708.621;7.195.804;1.125.673;682.148;0;0;0
