Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;03/2024;161.345.961;19.229.247;180.575.208;23.309.310;203.884.518;1.090.725.497;6.769.071;6.039.356;15.142.123;10.194.270;7.080.595;45.225.415;107.622.847;0;1.243.573.759;2.554.245.841;12,97%;14,52%;16,40%;43.525.082;7,07%;20,03%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;03/2024;139.852.104;23.301.705;163.153.809;14.668.449;177.822.258;962.139.917;16.895.080;2.288.636;10.476.737;71.280;3.743.794;33.475.526;179.500.470;0;1.175.115.914;2.293.934.157;11,90%;13,88%;15,13%;41.129.057;7,11%;16,61%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;03/2024;106.167.412;14.559.854;120.727.267;24.893.972;145.621.238;829.473.012;4.413.281;1.065.533;12.700.032;1.091.298;8.420.888;27.691.032;89.885.721;0;947.049.764;1.740.974.434;11,21%;12,75%;15,38%;33.146.742;6,93%;23,19%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;03/2024;110.910.540;1.713.241;112.623.781;16.173.576;128.797.357;670.501.456;375.244;0;14.185.864;25.604;0;14.586.713;79.484.737;0;764.572.906;1.950.057.792;14,51%;14,73%;16,85%;26.760.052;5,78%;9,43%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;03/2024;76.344.982;6.582.436;82.927.418;14.083.322;97.010.740;575.012.751;5.862.406;891.404;19.323.885;3.629.348;8.412.041;38.119.083;57.479.272;0;670.611.106;1.087.290.846;11,38%;12,37%;14,47%;23.471.389;7,63%;18,15%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;03/2024;159.967.469;0;159.967.469;26.339.492;186.306.961;525.693.694;10.744.823;0;2.388.147;0;1.255.836;14.388.805;72.832.709;0;612.915.208;860.053.123;26,10%;26,10%;30,40%;15.325.528;18,60%;1,10%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;03/2024;47.665.612;408.049;48.073.661;14.865.543;62.939.204;258.812.382;12.730.026;13.042.890;48.831.965;11.463.275;5.192.477;91.260.633;33.755.188;0;383.828.202;615.477.819;12,42%;12,52%;16,40%;9.595.705;7,81%;23,23%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;03/2024;26.172.033;2.842.313;29.014.346;3.328.812;32.343.158;150.326.031;1.618.204;155.779;14.937.796;867.916;807.771;18.387.466;17.750.046;0;186.463.543;317.563.447;14,04%;15,56%;17,35%;4.661.589;9,14%;28,64%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;03/2024;11.852.237;943.439;12.795.676;1.173.548;13.969.224;71.458.041;179.158;0;205.894;0;49;385.102;22.484.390;6.284.935;100.612.467;NA;11,78%;12,72%;13,88%;1.257.656;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;03/2024;10.912.752;790.489;11.703.241;1.141.302;12.844.543;80.966.219;157.999;2.634;134.651;96.402;65.600;457.286;17.190.156;0;98.613.661;135.089.919;11,07%;11,87%;13,03%;2.465.342;8,66%;2,46%
