Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;12/2024;188.265.366;17.931.079;206.196.445;21.405.374;227.601.819;1.223.039.738;6.338.703;6.395.161;17.399.183;7.744.230;3.365.213;1.070.173;42.312.662;112.827.472;0;1.378.179.872;2.805.181.282;13,66%;14,96%;16,51%;49.017.892;7,35%;18,50%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;12/2024;145.821.678;23.668.002;169.489.680;14.668.449;184.158.129;1.087.482.877;20.218.087;4.754.652;10.214.670;5.251;14.720.710;2.818.981;52.732.352;198.638.414;0;1.338.853.643;2.421.943.625;10,89%;12,66%;13,75%;46.859.877;7,00%;15,55%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;12/2024;106.012.668;18.620.251;124.632.919;24.476.254;149.109.173;887.255.002;2.438.714;244.614;3.896.263;2.918.585;16.140.322;2.549.639;28.188.137;93.224.674;0;1.008.667.813;1.860.789.433;10,51%;12,36%;14,78%;35.303.373;6,70%;25,18%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;12/2024;118.297.994;1.713.241;120.011.235;16.172.871;136.184.106;733.232.267;407.467;0;4.259.428;7.727;0;362.308;5.036.930;83.763.061;0;822.032.258;2.148.287.940;14,39%;14,60%;16,57%;28.771.129;5,59%;9,46%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;12/2024;77.547.571;8.015.293;85.562.864;15.488.353;101.051.217;603.286.533;5.402.649;503.299;21.423.689;3.414.950;12.022.943;756.166;43.523.697;60.643.284;0;707.453.514;1.185.823.981;10,96%;12,09%;14,28%;24.760.873;7,22%;19,21%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;12/2024;164.763.409;0;164.763.409;26.339.492;191.102.900;573.470.487;27.395.988;0;3.800.320;0;1.607.357;0;32.803.666;70.317.751;0;676.591.904;987.438.872;24,35%;24,35%;28,24%;16.920.829;16,69%;1,20%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;12/2024;53.817.135;2.533.123;56.350.258;15.313.148;71.663.405;307.257.117;15.755.523;13.591.652;42.853.282;13.118.927;10.068.992;16.584.549;111.972.925;37.040.557;0;456.270.599;672.696.256;11,80%;12,35%;15,71%;11.413.757;8,38%;33,85%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;12/2024;20.311.268;6.718.320;27.029.588;2.756.709;29.786.297;137.348.088;210.569;142.567;8.314.219;336.920;1.541.765;1.967.961;12.514.002;18.880.114;0;168.742.205;337.094.991;12,04%;16,02%;17,65%;4.218.555;8,02%;23,75%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;12/2024;18.156.195;1.908.325;20.064.520;2.344.025;22.408.545;91.195.553;180.879;0;76.820;0;19.536;7.242;284.478;27.819.399;4.616.314;123.915.743;NA;14,65%;16,19%;18,08%;1.548.947;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;12/2024;13.781.892;790.489;14.572.381;1.141.302;15.713.683;90.321.500;170.251;1.239;506.734;29.747;268.845;12.297;989.113;18.199.092;0;109.509.705;143.987.464;12,59%;13,31%;14,35%;2.737.743;10,12%;2,08%
XP - PRUDENCIAL;1000082475;b1;S2;1;C;2;RIO DE JANEIRO;RJ;12/2024;7.406.366;1.974.956;9.381.322;830.730;10.212.052;50.438.399;167.366;5.775;3.230.243;295.679;7.223.653;10.663.632;21.586.348;16.382.817;0;88.407.564;230.036.015;8,38%;10,61%;11,55%;2.210.189;4,08%;42,44%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;1;C;2;SAO PAULO;SP;12/2024;11.084.174;1.474.732;12.558.906;1.328.625;13.887.531;79.228.537;73.016;0;312.596;1.286;343.367;43.142;773.408;6.587.615;103.453;86.693.012;155.056.893;12,79%;14,49%;16,02%;2.167.325;8,10%;5,20%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;;C;3;SAO PAULO;SP;12/2024;11.418.066;0;11.418.066;0;11.418.066;56.451.858;873.097;0;13.844.821;230.608;2.918.985;532.633;18.400.145;9.334.608;0;84.186.611;187.464.970;13,56%;13,56%;13,56%;2.104.665;6,09%;3,17%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;12/2024;9.262.050;0;9.262.050;2.302.526;11.564.576;56.303.565;1.235.190;0;4.634;0;56.195;0;1.296.019;8.558.684;1.049.365;67.207.633;128.286.978;13,78%;13,78%;17,21%;1.680.191;7,22%;9,47%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;;C;2;SAO PAULO;SP;12/2024;7.044.809;1.027.324;8.072.134;0;8.072.134;56.193.646;707.358;6.294;433.668;18.664;772.864;559.597;2.498.445;5.904.169;0;64.596.261;99.123.305;10,91%;12,50%;12,50%;1.614.907;8,14%;18,56%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;;C;3;SAO PAULO;SP;12/2024;6.120.200;1.567.667;7.687.867;1.273.731;8.961.598;45.887.484;532.008;685.130;1.963.280;184;1.206.551;643.732;5.030.885;3.468.896;0;54.387.265;79.532.054;11,25%;14,14%;16,48%;1.359.682;9,67%;0,54%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;;I;3;SAO PAULO;SP;12/2024;4.895.591;1.983.422;6.879.014;0;6.879.014;43.191.220;266.959;205.461;3.411.653;0;2.923.261;0;6.807.334;3.121.070;0;53.119.623;73.973.287;9,22%;12,95%;12,95%;1.327.991;9,30%;0,56%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;;C;3;SAO PAULO;SP;12/2024;11.234.021;0;11.234.021;0;11.234.021;11.693.463;1.406.807;14;18.525.528;999.145;5.088.124;4.347.518;30.367.134;8.412.999;0;50.473.596;70.295.383;22,26%;22,26%;22,26%;1.261.840;15,98%;0,76%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;12/2024;4.557.092;17.811;4.574.904;944.517;5.519.421;41.773.986;154.049;2.940;42.915;1.526.415;104.561;161.787;1.992.666;3.884.965;269.242;47.920.860;80.965.517;9,51%;9,55%;11,52%;1.198.021;5,65%;9,07%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;12/2024;4.010.832;550.643;4.561.475;887.207;5.448.682;39.476.312;28.432;7.792;186.053;0;176.043;18.148;416.468;4.183.492;0;44.076.272;118.751.142;9,10%;10,35%;12,36%;1.101.907;3,84%;17,71%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;;C;3;SAO PAULO;SP;12/2024;5.059.993;0;5.059.993;232.045;5.292.039;40.095.460;0;0;0;0;177.912;0;177.912;2.121.047;0;42.394.419;53.364.499;11,94%;11,94%;12,48%;1.059.860;9,48%;0,12%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;;C;2;RIO DE JANEIRO;RJ;12/2024;16.976.153;0;16.976.153;0;16.976.153;641.360;0;0;4;37.410.985;0;0;37.410.989;12.184;0;38.064.533;26.841.619;44,60%;44,60%;44,60%;951.613;63,04%;1,98%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;;C;3;SAO PAULO;SP;12/2024;3.093.110;1.286.719;4.379.829;1.178.457;5.558.286;24.356.005;1.381.009;21.291;5.526.996;32.651;1.932.885;712.048;9.606.880;3.291.573;0;37.254.458;51.620.342;8,30%;11,76%;14,92%;931.361;8,48%;1,06%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;12/2024;4.906.828;1.608.668;6.515.496;89.637;6.605.134;30.826.336;464.345;0;37.901;0;335.759;0;838.005;3.256.053;997.187;35.917.582;191.062.976;13,66%;18,14%;18,39%;897.940;3,41%;1,59%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;12/2024;2.545.052;505.962;3.051.014;1.540.262;4.591.276;32.667.001;19.906;0;0;0;0;0;19.906;2.258.254;280.351;35.225.513;65.514.736;7,23%;8,66%;13,03%;880.638;4,66%;15,58%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;12/2024;5.262.321;0;5.262.321;0;5.262.321;27.053.372;127.866;74.085;444.425;3.005;0;612.916;1.262.296;5.939.055;399.017;34.653.740;59.547.176;15,19%;15,19%;15,19%;866.344;8,84%;8,45%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;3;C;2;SAO PAULO;SP;12/2024;9.010.608;0;9.010.608;0;9.010.608;6.435.334;50.469;0;0;0;42.208;0;92.677;11.833.463;13.383.854;31.745.328;0;28,38%;28,38%;28,38%;1.190.450;NI%;NA%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;;C;3;SAO PAULO;SP;12/2024;5.956.721;0;5.956.721;0;5.956.721;7.218.823;924.899;0;15.487.505;0;1.770.013;392.414;18.574.831;5.032.071;0;30.825.725;54.492.827;19,32%;19,32%;19,32%;770.643;10,93%;1,44%
BANCOOB - PRUDENCIAL;1000080879;b1;S2;1;C;2;BRASILIA;DF;12/2024;4.891.874;603.783;5.495.657;0;5.495.657;23.083.444;146.936;0;33.042;5.876;0;1.768;187.622;5.149.013;0;28.420.079;157.427.674;17,21%;19,34%;19,34%;710.502;3,49%;13,42%
CIELO IP - PRUDENCIAL;1000084710;n4;;2;C;2;BARUERI;SP;12/2024;NA;NA;NA;NA;6.121.673;10.573.138;1.025;NA;NA;NA;NA;NA;1.025;0;17.806.301;28.380.465;NA;NA%;NA%;21,57%;NA;NA%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;12/2024;2.739.467;110.845;2.850.312;885.449;3.735.761;25.748.488;49.886;0;138.003;708;5.947;0;194.544;2.335.791;0;28.278.823;47.710.021;9,69%;10,08%;13,21%;706.971;5,97%;27,94%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;;C;1;PORTO ALEGRE;RS;12/2024;4.463.994;0;4.463.994;0;4.463.994;20.219.904;3.350.055;0;52.586;0;136;0;3.402.777;1.865.520;0;25.488.200;28.181.166;17,51%;17,51%;17,51%;637.205;15,84%;0,88%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;3;OSASCO;SP;12/2024;3.870.093;0;3.870.093;0;3.870.093;12.470.372;214.343;0;0;0;35.711;0;250.054;2.492.192;9.461.363;24.673.981;NA;15,68%;15,68%;15,68%;308.425;NA%;NA%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;;C;3;SAO PAULO;SP;12/2024;5.807.514;0;5.807.514;0;5.807.514;7.036.980;445.895;842.422;6.963.636;3.079.767;2.179.902;508.737;14.020.359;3.260.945;0;24.318.285;26.203.413;23,88%;23,88%;23,88%;1.215.914;22,16%;1,18%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;;I;3;CURITIBA;PR;12/2024;2.488.048;0;2.488.048;795.495;3.283.543;22.236.944;376.858;0;0;0;132.838;0;509.696;1.540.601;0;24.287.240;29.522.542;10,24%;10,24%;13,52%;607.181;8,43%;0,11%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;1;C;2;SAO PAULO;SP;12/2024;1.476.065;572.437;2.048.502;836.931;2.885.433;16.291.559;22.045;0;108.311;0;54.824;0;185.181;4.174.478;0;20.651.218;28.027.619;7,15%;9,92%;13,97%;516.280;7,31%;5,52%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;12/2024;1.614.192;273.859;1.888.051;644.289;2.532.340;17.865.370;37.507;0;10.427;0;83.985;0;131.919;1.367.063;0;19.364.353;NA;8,34%;9,75%;13,08%;484.109;NA%;6,57%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;;C;3;SAO BERNARDO DO CAMPO;SP;12/2024;2.598.434;0;2.598.434;0;2.598.434;17.453.577;0;0;0;0;0;0;0;1.128.752;0;18.582.329;20.830.908;13,98%;13,98%;13,98%;464.558;12,47%;0,53%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;;I;3;INDAIATUBA;SP;12/2024;2.458.476;0;2.458.476;0;2.458.476;16.055.261;1.109.166;0;0;0;0;0;1.109.166;890.535;0;18.054.962;24.738.289;13,62%;13,62%;13,62%;451.374;9,94%;0,27%
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;;C;3;SAO PAULO;SP;12/2024;6.604.535;0;6.604.535;0;6.604.535;6.011.969;91.403;0;2.912.327;865.449;1.730.538;1.022.904;6.622.621;5.235.127;0;17.869.716;33.834.288;36,96%;36,96%;36,96%;446.743;19,52%;0,61%
VOLVO - PRUDENCIAL;1000080769;b2;S3;;C;3;CURITIBA;PR;12/2024;3.538.157;0;3.538.157;0;3.538.157;16.296.841;0;0;0;0;0;0;0;1.197.465;0;17.494.306;17.409.540;20,22%;20,22%;20,22%;437.358;20,32%;15,24%
