Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;06/2025;188.388.854;26.992.383;215.381.237;22.073.260;237.454.497;1.236.495.422;10.222.711;6.528.825;27.049.014;9.819.535;1.455.863;2.991.468;58.067.415;141.781.961;0;1.436.344.798;2.855.120.658;13,12%;15,00%;16,53%;51.166.751;1.742.502;7,54%;16,88%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;06/2025;146.716.931;30.715.516;177.432.447;11.734.759;189.167.206;1.076.265.626;20.159.058;3.547.201;12.318.179;52.320;5.546.497;1.977.868;43.601.122;217.590.006;0;1.337.456.754;2.452.655.257;10,97%;13,27%;14,14%;46.810.986;15.860.407;7,23%;16,68%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;06/2025;116.301.588;20.285.917;136.587.505;26.173.312;162.760.817;916.623.420;3.410.533;208.625;5.555.114;2.066.607;9.678.396;1.180.512;22.099.787;113.123.058;0;1.051.846.265;1.959.354.923;11,06%;12,99%;15,47%;36.814.619;6.748.445;6,97%;26,12%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;06/2025;128.634.596;1.713.241;130.347.837;12.938.297;143.286.134;768.205.073;1.138.010;681.771;7.839.778;13.635;0;629.504;10.302.698;118.724.243;0;897.232.014;2.266.137.111;14,34%;14,53%;15,97%;31.403.121;8.976.272;5,75%;9,82%
BNDES - PRUDENCIAL;1000081847;b4;S2;1;C;1;RIO DE JANEIRO;RJ;06/2025;172.297.005;0;172.297.005;21.071.593;193.368.598;622.577.095;68.165.728;0;5.066.520;0;1.533.424;0;74.765.672;60.195.901;0;757.538.668;1.035.180.634;22,74%;22,74%;25,53%;19.659.439;1.169.185;16,64%;1,20%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;06/2025;83.365.282;8.078.851;91.444.133;16.714.193;108.158.326;600.227.419;6.129.160;472.374;21.143.572;8.565.683;7.504.859;2.799.358;46.615.007;73.148.101;0;719.990.526;1.256.286.493;11,58%;12,70%;15,02%;25.199.668;2.057.839;7,28%;19,08%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;06/2025;59.317.603;4.909.036;64.226.639;15.409.170;79.635.810;328.185.509;9.693.221;16.661.312;57.971.357;14.200.023;10.788.001;13.767.697;123.081.610;41.823.028;0;493.090.147;704.748.244;12,03%;13,03%;16,15%;12.334.146;1.634.716;9,11%;26,91%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;06/2025;18.440.125;6.513.777;24.953.903;4.694.950;29.648.853;131.875.845;1.273.020;158.549;7.531.243;147.348;2.056.294;850.378;12.016.832;19.300.969;1.984.501;165.178.147;276.961.940;11,16%;15,11%;17,95%;4.129.454;1.258.024;9,01%;17,03%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;3;SAO PAULO;SP;06/2025;18.331.501;1.884.123;20.215.624;2.428.996;22.644.620;102.075.075;522.115;0;28.116;0;871;9.551;560.653;31.627.864;8.148.993;142.412.585;NA;12,87%;14,20%;15,90%;3.560.315;1.088.677;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;1;C;1;FORTALEZA;CE;06/2025;14.729.484;790.489;15.519.973;913.042;16.433.014;99.836.655;163.250;1.303;1.021.755;10.369;262.354;5.274;1.464.305;20.247.352;0;121.548.311;155.134.414;12,12%;12,77%;13,52%;3.038.708;479.884;10,00%;2,12%
