Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;06/2024;170.045.081;21.056.333;191.101.414;24.455.491;215.556.905;1.154.092.637;4.947.124;4.625.101;17.269.994;11.510.259;1.472.468;39.824.945;107.622.847;0;1.301.540.429;2.688.588.690;13,06%;14,68%;16,56%;46.294.024;7,11%;20,86%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;06/2024;143.271.011;17.408.842;160.679.853;14.668.449;175.348.301;1.008.383.486;23.693.918;3.303.500;11.161.284;44.227;9.226.437;47.429.366;179.500.470;0;1.235.313.322;2.350.835.187;11,60%;13,01%;14,19%;43.235.966;6,84%;16,35%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;06/2024;109.058.684;14.483.213;123.541.897;25.577.510;149.119.407;865.257.299;1.877.658;758.350;12.281.106;1.193.194;10.574.050;26.684.358;89.885.721;0;981.827.378;1.807.551.019;11,11%;12,58%;15,19%;34.363.958;6,83%;25,57%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;06/2024;112.001.651;1.713.241;113.714.892;16.172.871;129.887.763;694.956.868;404.166;0;17.353.115;18.029;0;17.775.311;79.484.737;0;792.216.916;2.022.061.604;14,14%;14,35%;16,40%;27.727.592;5,62%;9,26%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;06/2024;77.058.439;7.160.387;84.218.826;14.506.895;98.725.721;593.448.223;5.139.550;571.310;18.797.679;2.865.068;8.120.656;35.494.263;57.479.272;0;686.421.758;1.133.622.189;11,23%;12,27%;14,38%;24.024.762;7,43%;20,02%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;06/2024;165.971.877;0;165.971.877;26.339.492;192.311.369;530.282.214;8.253.188;0;4.448.303;0;1.361.229;14.062.720;72.832.709;0;617.177.644;904.044.583;26,89%;26,89%;31,16%;15.435.274;18,36%;1,07%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;06/2024;49.547.710;417.948;49.965.658;15.401.187;65.366.845;283.646.226;5.950.876;14.647.960;50.932.414;9.439.935;6.228.722;87.199.906;33.755.188;0;404.601.320;657.420.493;12,25%;12,35%;16,16%;10.120.706;7,60%;21,84%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;06/2024;26.820.727;3.210.073;30.030.800;2.965.476;32.996.276;158.415.334;151.872;168.251;7.566.891;981.820;1.113.359;9.982.194;17.750.046;0;186.147.575;332.760.807;14,41%;16,13%;17,73%;4.653.689;9,02%;28,77%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;06/2024;13.243.612;1.805.202;15.048.814;1.525.427;16.574.240;75.784.218;378.265;0;157.518;0;27.439;563.222;22.484.390;5.973.687;104.805.517;NA;12,64%;14,36%;15,81%;1.310.069;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;06/2024;11.226.540;790.489;12.017.029;1.141.302;13.158.331;82.904.776;51.363;2.913;192.889;33.402;145.910;426.477;17.190.156;0;100.521.408;137.748.994;11,17%;11,95%;13,09%;2.513.035;8,72%;2,44%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;1;C;2;SAO PAULO;SP;06/2024;10.639.394;1.140.233;11.779.627;1.027.139;12.806.767;74.322.517;412.645;0;469.039;25.809;195.238;1.102.731;6.356.369;104.744;81.886.362;147.670.462;12,99%;14,39%;15,64%;2.047.159;7,98%;7,27%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;;C;3;SAO PAULO;SP;06/2024;12.530.794;0;12.530.794;0;12.530.794;50.916.885;1.308.477;0;14.819.156;889.327;2.687.574;19.704.534;8.354.933;0;78.976.353;169.821.278;15,87%;15,87%;15,87%;1.974.409;7,38%;3,04%
XP - PRUDENCIAL;1000082475;b1;S2;1;C;2;RIO DE JANEIRO;RJ;06/2024;5.387.766;1.443.138;6.830.905;830.069;7.660.974;37.407.530;259.327;0;2.672.916;81.476;3.679.075;6.692.794;16.324.392;0;60.424.716;197.352.725;8,92%;11,30%;12,68%;1.510.618;3,46%;23,40%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;06/2024;8.834.999;0;8.834.999;2.076.864;10.911.863;48.282.609;1.335.639;0;59.546;15.220;68.955;1.479.360;8.353.134;993.818;59.108.920;139.660.566;14,95%;14,95%;18,46%;1.477.723;6,33%;10,46%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;;C;2;SAO PAULO;SP;06/2024;6.717.660;1.028.595;7.746.256;0;7.746.256;50.057.849;212.797;0;707.319;0;1.050.260;1.970.376;3.978.932;0;56.007.157;85.228.536;11,99%;13,83%;13,83%;1.400.179;9,09%;16,63%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;;C;3;SAO PAULO;SP;06/2024;5.921.837;1.053.868;6.975.705;1.278.822;8.254.526;43.324.249;292.162;774.567;2.068.891;0;795.495;3.931.116;3.364.420;0;50.619.785;79.605.165;11,70%;13,78%;16,31%;1.265.495;8,76%;0,59%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;;C;3;SAO PAULO;SP;06/2024;10.472.910;0;10.472.910;0;10.472.910;12.776.717;2.502.281;2;21.499.661;1.811.404;4.302.657;30.116.005;7.318.248;0;50.210.970;100.300.869;20,86%;20,86%;20,86%;1.255.274;10,44%;0,87%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;;I;3;SAO PAULO;SP;06/2024;5.013.633;1.906.472;6.920.105;0;6.920.105;39.855.297;451.913;292.523;3.360.173;0;2.107.913;6.212.522;3.025.815;0;49.093.634;64.605.168;10,21%;14,10%;14,10%;1.227.341;10,71%;0,54%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;;I;1;BELEM;PA;06/2024;6.370.501;0;6.370.501;0;6.370.501;39.515.834;438;0;974;0;0;1.412;6.696.083;0;46.213.330;64.994.572;13,78%;13,78%;13,78%;1.155.333;9,80%;3,20%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;;C;3;SAO PAULO;SP;06/2024;4.104.897;0;4.104.897;443.835;4.548.732;34.781.639;0;0;0;0;56.963;56.963;1.934.959;0;36.773.561;46.385.698;11,16%;11,16%;12,37%;919.339;8,85%;0,15%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;06/2024;3.445.114;62.641;3.507.756;1.051.773;4.559.529;33.164.774;15.788;3.863;108.702;0;84.944;213.298;3.197.146;0;36.575.217;86.848.191;9,42%;9,59%;12,47%;914.380;4,04%;19,97%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;;C;2;RIO DE JANEIRO;RJ;06/2024;15.691.906;0;15.691.906;0;15.691.906;68.362;0;0;3;35.354.796;0;35.354.799;12.706;0;35.435.868;7.091.471;44,28%;44,28%;44,28%;885.897;221,28%;2,15%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;06/2024;3.629.049;17.457;3.646.506;250.098;3.896.604;29.089.064;213.518;30.810;82.987;940.357;318.845;1.586.517;2.595.115;0;33.270.696;55.845.345;10,91%;10,96%;11,71%;831.767;6,53%;12,46%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;;C;3;SAO PAULO;SP;06/2024;3.531.138;1.120.913;4.652.051;1.037.185;5.689.236;22.252.078;437.381;10.280;4.898.145;28.995;1.351.276;6.726.077;3.490.286;0;32.468.441;51.057.809;10,88%;14,33%;17,52%;811.711;9,11%;1,13%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;06/2024;4.795.893;979.805;5.775.699;383.854;6.159.553;27.460.875;77.563;0;737.754;0;223.782;1.039.099;3.137.011;809.048;32.446.034;173.371.922;14,78%;17,80%;18,98%;811.151;3,33%;1,65%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;06/2024;5.895.211;0;5.895.211;0;5.895.211;24.972.743;172.949;0;420.993;0;0;593.942;4.995.479;0;30.562.164;54.729.992;19,29%;19,29%;19,29%;764.054;10,77%;4,35%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;3;C;2;SAO PAULO;SP;06/2024;1.821.035;0;1.821.035;1.014.898;2.835.933;22.978.887;12.212;0;96.611;0;25.824;134.648;5.789.517;446.648;29.349.700;37.817.363;6,20%;6,20%;9,66%;733.742;4,82%;NA%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;06/2024;2.085.894;468.820;2.554.715;1.432.645;3.987.360;26.564.588;44.340;0;0;0;0;44.340;2.033.160;261.936;28.904.024;56.647.695;7,22%;8,84%;13,80%;722.601;4,51%;16,17%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S4;3;C;2;SAO PAULO;SP;06/2024;9.491.445;0;9.491.445;0;9.491.445;6.133.020;1.096;0;0;0;32.444;33.540;10.997.148;11.290.556;28.454.264;0;33,36%;33,36%;33,36%;1.067.035;NI%;NA%
CIELO IP - PRUDENCIAL;1000084710;n4;;2;C;2;BARUERI;SP;06/2024;NA;NA;NA;NA;9.116.259;9.119.999;1.029;NA;NA;NA;NA;1.029;0;17.274.873;26.395.901;NA;NA%;NA%;34,54%;NA;NA%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;06/2024;2.580.535;110.419;2.690.954;948.824;3.639.779;23.785.868;72.798;0;128.633;717;4.797;206.945;2.183.236;0;26.176.050;41.954.767;9,86%;10,28%;13,90%;654.401;6,41%;26,08%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;1;C;2;BRASILIA;DF;06/2024;4.413.964;602.814;5.016.778;0;5.016.778;20.152.559;73.928;0;32.027;5.820;0;111.775;4.826.344;0;25.090.678;148.765.225;17,59%;19,99%;19,99%;627.267;3,37%;11,64%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;;C;3;SAO PAULO;SP;06/2024;5.785.683;0;5.785.683;0;5.785.683;6.334.232;571.834;500.186;9.761.261;2.311.681;1.810.093;14.955.055;3.479.570;0;24.768.858;32.475.744;23,36%;23,36%;23,36%;1.238.443;17,82%;1,32%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;;C;3;SAO PAULO;SP;06/2024;5.631.955;0;5.631.955;0;5.631.955;7.386.215;578.413;0;10.490.584;0;1.364.468;12.433.465;4.772.526;0;24.592.206;44.239.600;22,90%;22,90%;22,90%;614.805;12,73%;1,50%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;;I;3;CURITIBA;PR;06/2024;2.422.583;0;2.422.583;745.372;3.167.956;20.883.342;292.478;0;0;0;73.401;365.879;1.376.505;0;22.625.726;25.355.550;10,71%;10,71%;14,00%;565.643;9,55%;0,11%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;;C;1;PORTO ALEGRE;RS;06/2024;4.400.502;0;4.400.502;0;4.400.502;18.697.865;26.690;0;60.029;0;107;86.827;1.614.729;0;20.399.422;26.025.778;21,57%;21,57%;21,57%;509.986;16,91%;0,92%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;3;OSASCO;SP;06/2024;2.626.620;0;2.626.620;0;2.626.620;12.583.634;188.700;0;0;0;8.716;197.416;1.383.212;5.324.896;19.489.157;NA;13,48%;13,48%;13,48%;243.614;NA%;NA%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;;C;3;SAO BERNARDO DO CAMPO;SP;06/2024;2.449.195;0;2.449.195;0;2.449.195;16.831.033;0;0;0;0;0;0;1.101.879;0;17.932.911;20.000.666;13,66%;13,66%;13,66%;448.323;12,25%;0,62%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;06/2024;1.426.205;188.100;1.614.306;671.403;2.285.709;15.383.838;49.878;0;80;0;25.804;75.762;1.256.949;0;16.716.548;NA;8,53%;9,66%;13,67%;417.914;NA%;6,97%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;;I;3;INDAIATUBA;SP;06/2024;2.623.258;0;2.623.258;0;2.623.258;15.167.479;578.059;0;0;0;0;578.059;800.431;0;16.545.968;23.934.540;15,85%;15,85%;15,85%;413.649;10,96%;0,17%
STONE IP - PRUDENCIAL;1000084686;n1;S4;3;C;3;SAO PAULO;SP;06/2024;1.715.461;489.569;2.205.030;0;2.205.030;3.821.540;29.851;0;0;0;58.586;88.436;816.464;11.427.988;16.154.428;NA;10,62%;13,65%;13,65%;201.930;NA%;NA%
VOLVO - PRUDENCIAL;1000080769;b2;S3;;C;3;CURITIBA;PR;06/2024;3.358.704;0;3.358.704;0;3.358.704;14.865.396;0;0;0;0;0;0;1.073.056;0;15.938.451;16.128.079;21,07%;21,07%;21,07%;398.461;20,83%;15,35%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;2;SAO PAULO;SP;06/2024;2.603.699;0;2.603.699;0;2.603.699;13.822.978;28.081;13.458;0;0;0;41.540;1.266.781;0;15.131.300;21.458.677;17,21%;17,21%;17,21%;756.565;12,13%;6,82%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;;C;3;SAO PAULO;SP;06/2024;6.226.829;0;6.226.829;0;6.226.829;6.394.692;119.882;0;2.824.672;469.382;1.471.624;4.885.560;3.782.848;0;15.063.100;36.206.265;41,34%;41,34%;41,34%;376.578;17,20%;0,43%
AGIBANK - PRUDENCIAL;1000083694;b1;S3;;C;2;CAMPINAS;SP;06/2024;1.688.639;0;1.688.639;392.661;2.081.300;12.079.451;118;0;190.159;0;0;190.276;1.735.510;0;14.005.237;24.162.926;12,06%;12,06%;14,86%;350.131;6,99%;28,34%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;;I;3;PORTO ALEGRE;RS;06/2024;1.335.089;0;1.335.089;453.962;1.789.051;13.259.616;8.764;0;0;0;14.496;23.261;593.523;0;13.876.400;16.723.602;9,62%;9,62%;12,89%;346.910;7,98%;2,73%
