Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;03/2025;180.610.547;21.733.433;202.343.979;21.748.101;224.092.080;1.233.098.210;7.969.137;6.562.526;28.277.728;9.576.728;1.743.622;3.426.926;57.556.666;141.781.961;0;1.432.436.836;2.709.738.102;12,61%;14,13%;15,64%;51.074.574;4.594.681;7,47%;17,05%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;03/2025;147.483.512;30.901.212;178.384.724;11.734.759;190.119.483;1.094.138.048;9.794.425;4.859.905;9.660.208;9.310;6.127.346;2.493.619;32.944.815;217.590.006;0;1.344.672.869;2.448.827.233;10,97%;13,27%;14,14%;47.063.550;22.097.590;7,28%;16,47%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;03/2025;114.756.958;20.057.141;134.814.099;25.211.152;160.025.250;900.690.719;3.046.032;144.363;3.222.111;2.685.195;12.090.937;928.090;22.116.728;113.123.058;0;1.035.930.505;1.922.012.193;11,08%;13,01%;15,45%;36.257.568;7.618.160;7,01%;25,01%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;03/2025;119.618.830;1.713.241;121.332.071;12.938.297;134.270.368;754.550.540;1.257.019;771.714;4.328.420;8.181;0;406.085;6.771.420;118.724.243;0;880.046.203;2.266.942.975;13,59%;13,79%;15,26%;30.801.617;6.564.772;5,35%;10,43%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;03/2025;80.221.350;7.796.423;88.017.773;16.098.065;104.115.838;604.659.128;8.070.641;431.085;17.065.010;7.457.105;12.581.048;2.522.266;48.127.155;73.148.101;0;725.934.383;1.259.927.835;11,05%;12,12%;14,34%;25.407.703;2.677.723;6,99%;19,18%
BNDES - PRUDENCIAL;1000081847;b4;S2;1;C;1;RIO DE JANEIRO;RJ;03/2025;176.190.888;0;176.190.888;21.071.593;197.262.481;611.541.859;11.864.356;0;4.382.686;0;1.616.542;0;17.863.584;60.195.901;0;689.601.344;1.014.032.890;25,55%;25,55%;28,61%;17.245.345;939.868;17,38%;1,18%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;03/2025;55.259.441;3.253.688;58.513.129;15.396.669;73.909.798;326.007.413;15.420.610;13.303.555;33.712.081;12.572.525;11.159.949;17.412.490;103.581.209;41.823.028;0;471.411.651;677.644.352;11,72%;12,41%;15,68%;11.792.474;1.481.036;8,63%;29,55%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;03/2025;18.042.172;6.564.888;24.607.060;4.864.290;29.471.350;130.704.508;2.183.076;87.668;8.005.107;332.429;1.198.523;637.764;12.444.566;19.300.969;2.036.704;164.486.747;280.109.222;10,97%;14,96%;17,92%;4.112.169;925.671;8,78%;23,42%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;3;SAO PAULO;SP;03/2025;18.679.283;1.810.631;20.489.914;2.340.518;22.830.432;95.198.665;791.822;0;204.343;0;317;4.914;1.001.396;31.652.233;7.585.534;135.437.827;NA;13,79%;15,13%;16,86%;3.385.946;1.002.676;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;1;C;1;FORTALEZA;CE;03/2025;14.045.052;790.489;14.835.541;913.042;15.748.583;94.625.146;211.032;1.102;707.144;11.155;231.099;5.733;1.167.266;20.247.352;0;116.039.763;146.000.855;12,10%;12,78%;13,57%;2.900.994;666.222;10,16%;2,10%
XP - PRUDENCIAL;1000082475;b1;S2;1;C;2;RIO DE JANEIRO;RJ;03/2025;8.912.380;1.938.059;10.850.439;859.250;11.709.689;51.114.881;618.090;0;3.306.085;276.349;6.037.573;11.731.330;21.969.428;15.068.534;0;88.152.843;249.090.779;10,11%;12,31%;13,28%;2.203.821;199.279;4,36%;37,56%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;1;C;2;SAO PAULO;SP;03/2025;10.667.763;1.543.635;12.211.399;1.335.922;13.547.320;77.240.393;342.236;0;644.977;2.708;9.771;71.281;1.070.973;9.105.720;57.015;87.474.101;161.034.005;12,20%;13,96%;15,49%;2.186.853;777.223;7,58%;6,13%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;1;C;3;SAO PAULO;SP;03/2025;12.313.503;0;12.313.503;0;12.313.503;51.699.063;1.100.333;72;14.619.753;297.727;2.431.278;396.422;18.845.586;9.991.349;0;80.535.998;186.498.244;15,29%;15,29%;15,29%;2.013.400;736.747;6,60%;2,26%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;03/2025;9.421.078;0;9.421.078;2.161.398;11.582.476;60.381.553;1.158.194;0;4.844;0;7.033;0;1.170.071;10.117.018;1.106.101;72.774.743;131.872.061;12,95%;12,95%;15,92%;1.819.369;512.507;7,14%;12,01%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;1;C;2;SAO PAULO;SP;03/2025;7.378.441;1.336.087;8.714.528;0;8.714.528;51.435.753;99.808;4.466;575.171;17.159;414.116;706.346;1.817.067;7.109.844;0;60.362.663;94.985.454;12,22%;14,44%;14,44%;1.509.067;151.068;9,17%;18,89%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;1;I;3;SAO PAULO;SP;03/2025;5.645.441;1.921.439;7.566.879;0;7.566.879;40.786.561;375.166;279.236;3.679.143;0;2.651.839;0;6.985.384;6.553.365;0;54.325.310;71.210.036;10,39%;13,93%;13,93%;1.358.133;394.361;10,63%;0,97%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;1;C;3;SAO PAULO;SP;03/2025;6.154.217;1.623.417;7.777.635;1.294.187;9.071.822;45.269.056;337.342;553.930;1.735.686;36;1.059.565;523.519;4.210.077;3.402.820;0;52.881.952;70.759.262;11,64%;14,71%;17,15%;1.322.049;138.844;10,99%;0,51%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;03/2025;4.285.961;73.231;4.359.192;970.283;5.329.475;42.878.042;40.735;0;21.790;979.051;36.764;411.272;1.489.611;5.935.070;290.773;50.593.496;85.302.217;8,47%;8,62%;10,53%;1.264.837;636.986;5,11%;10,48%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;03/2025;4.396.121;571.696;4.967.817;1.642.285;6.610.102;44.169.838;21.158;22.695;176.096;0;175.232;20.636;415.817;4.739.478;953.532;50.278.666;119.470.935;8,74%;9,88%;13,15%;1.256.967;252.492;4,16%;15,03%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;1;C;3;SAO PAULO;SP;03/2025;11.696.496;0;11.696.496;0;11.696.496;8.900.265;1.368.735;2.334;20.625.150;1.019.642;3.130.096;4.839.778;30.985.735;8.514.768;0;48.400.768;103.519.882;24,17%;24,17%;24,17%;1.210.019;231.420;11,30%;0,93%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;1;I;1;BELEM;PA;03/2025;6.594.087;0;6.594.087;0;6.594.087;41.109.801;549;0;775;3.146;0;0;4.470;6.758.684;0;47.872.955;69.157.536;13,77%;13,77%;13,77%;1.196.824;240.566;9,53%;1,75%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;1;C;3;SAO PAULO;SP;03/2025;5.351.726;0;5.351.726;583.545;5.935.271;41.642.015;0;0;0;0;137.256;0;137.256;2.687.943;0;44.467.214;55.031.954;12,04%;12,04%;13,35%;1.111.680;368.659;9,72%;0,10%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;1;C;2;RIO DE JANEIRO;RJ;03/2025;5.262.367;0;5.262.367;0;5.262.367;1.141.756;0;0;4;40.083.225;0;0;40.083.229;92.469;0;41.317.454;27.991.412;12,74%;12,74%;12,74%;1.032.936;0;18,80%;6,46%
BRB - PRUDENCIAL;1000080288;b1;S3;1;C;1;BRASILIA;DF;03/2025;2.890.348;578.796;3.469.144;2.025.958;5.495.103;38.153.178;18.305;0;0;0;0;0;18.305;2.558.401;8.825;40.738.709;74.194.642;7,09%;8,52%;13,49%;1.018.468;590.495;4,68%;13,10%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;03/2025;5.543.088;0;5.543.088;0;5.543.088;30.173.849;177.270;7.106;417.585;25.918;0;621.353;1.249.232;5.547.874;395.266;37.366.220;77.313.848;14,83%;14,83%;14,83%;934.156;640.719;7,17%;10,02%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;03/2025;4.730.013;2.183.041;6.913.054;48.626;6.961.680;31.584.761;456.058;0;165.676;0;246.517;0;868.251;3.340.253;1.113.896;36.907.161;204.368.952;12,82%;18,73%;18,86%;922.679;126.712;3,38%;1,51%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;1;C;3;SAO PAULO;SP;03/2025;3.437.285;1.177.377;4.614.662;1.115.103;5.729.765;23.139.656;350.233;26.920;5.268.242;25.185;1.981.303;114.026;7.765.910;3.358.769;0;34.264.335;45.255.559;10,03%;13,47%;16,72%;856.608;372.528;10,20%;1,58%
BANCOOB - PRUDENCIAL;1000080879;b1;S2;1;C;2;BRASILIA;DF;03/2025;5.156.547;625.471;5.782.018;0;5.782.018;24.645.661;611.917;0;19.883;6.326;0;1.887;640.013;4.449.431;1.394.939;31.130.045;168.003.521;16,56%;18,57%;18,57%;778.251;111.283;3,44%;12,97%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;3;C;3;OSASCO;SP;03/2025;3.847.938;0;3.847.938;0;3.847.938;14.454.834;88.011;0;0;0;6.689;0;94.700;7.010.810;9.413.006;30.973.349;NA;12,42%;12,42%;12,42%;774.334;77.411;NA%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;03/2025;2.602.513;114.990;2.717.503;919.275;3.636.778;26.503.925;85.022;0;403.156;827;6.111;0;495.116;2.990.987;0;29.990.029;49.174.734;8,68%;9,06%;12,13%;749.751;203.142;5,53%;26,53%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;3;C;2;SAO PAULO;SP;03/2025;8.018.628;0;8.018.628;0;8.018.628;5.371.668;62.039;0;0;0;197.885;0;259.924;9.601.364;10.450.123;25.683.080;0;31,22%;31,22%;31,22%;1.284.154;757.270;NI%;NA%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;1;C;3;SAO PAULO;SP;03/2025;5.890.485;0;5.890.485;0;5.890.485;6.282.266;385.136;634.122;7.496.284;4.408.736;1.618.791;1.044.515;15.587.585;3.379.994;0;25.249.845;24.132.126;23,33%;23,33%;23,33%;631.246;73.118;24,41%;1,08%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;1;C;1;PORTO ALEGRE;RS;03/2025;4.514.591;0;4.514.591;0;4.514.591;20.633.931;3.017.468;0;40.450;0;85;0;3.058.003;1.402.578;0;25.094.512;28.784.968;17,99%;17,99%;17,99%;627.363;299.003;15,68%;0,86%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;1;I;3;CURITIBA;PR;03/2025;3.017.500;0;3.017.500;825.282;3.842.782;22.233.635;364.295;0;0;0;90.116;0;454.411;1.374.127;0;24.062.172;28.984.333;12,54%;12,54%;15,97%;601.554;246.615;10,41%;0,07%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;1;C;3;SAO PAULO;SP;03/2025;6.283.563;0;6.283.563;0;6.283.563;5.749.521;523.246;0;11.977.420;0;1.299.386;411.477;14.211.530;3.368.125;0;23.329.176;48.371.175;26,93%;26,93%;26,93%;583.229;325.603;12,99%;1,75%
CIELO IP - PRUDENCIAL;1000084710;n4;;2;C;2;BARUERI;SP;03/2025;NA;NA;NA;NA;2.842.690;4.109.215;1.495;NA;NA;NA;NA;NA;1.495;0;17.877.516;21.988.226;NA;NA%;NA%;12,93%;NA;NA;NA%;NA%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;03/2025;1.614.622;273.604;1.888.226;661.116;2.549.342;18.276.066;61.538;0;84;0;58.874;0;120.495;1.937.397;0;20.333.958;NA;7,94%;9,29%;12,54%;508.349;28.701;NA%;6,88%
AGIBANK - PRUDENCIAL;1000083694;b1;S3;1;C;2;CAMPINAS;SP;03/2025;2.695.042;0;2.695.042;372.191;3.067.233;17.969.013;2.843;0;15.735;0;51.113;0;69.690;1.995.332;0;20.034.035;34.159.794;13,45%;13,45%;15,31%;500.851;45.152;7,89%;41,07%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;1;C;2;SAO PAULO;SP;03/2025;1.495.566;596.539;2.092.104;868.874;2.960.979;17.016.307;42.392;0;107.394;0;43.638;0;193.423;2.026.401;0;19.236.132;30.328.828;7,77%;10,88%;15,39%;480.903;86.328;6,90%;5,33%
