Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;;C;3;SAO PAULO;SP;09/2023;9.331.353;0;9.331.353;0;9.331.353;12.714.015;3.317.835;108;25.455.372;1.187.395;3.276.315;33.237.025;6.595.597;0;52.546.637;86.222.825;17,76%;17,76%;17,76%;1.313.666;10,82%;0,95%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;;C;2;SAO PAULO;SP;09/2023;6.177.415;1.094.124;7.271.539;0;7.271.539;43.412.332;307.223;0;520.176;0;313.721;1.141.120;2.912.290;0;47.465.742;75.283.841;13,01%;15,32%;15,32%;1.186.644;9,66%;15,43%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;;C;3;SAO PAULO;SP;09/2023;5.324.965;514.579;5.839.545;859.532;6.699.077;37.696.520;168.011;1.078.852;2.969.122;2.217;532.813;4.751.015;3.375.428;0;45.822.963;64.250.027;11,62%;12,74%;14,62%;1.145.574;9,09%;0,55%
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;1;C;2;RIO DE JANEIRO;RJ;09/2023;5.112.445;0;5.112.445;862.370;5.974.815;25.671.763;68.311;146;2.143.092;189.962;1.571.863;3.973.374;15.993.746;0;45.638.883;170.992.248;11,20%;11,20%;13,09%;1.140.972;2,99%;5,81%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;;I;3;SAO PAULO;SP;09/2023;5.444.365;1.779.551;7.223.916;0;7.223.916;35.110.937;399.652;448.368;3.422.014;0;2.985.580;7.255.615;2.778.295;0;45.144.847;58.798.560;12,06%;16,00%;16,00%;1.128.621;12,29%;0,43%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;;I;1;BELEM;PA;09/2023;5.710.610;0;5.710.610;0;5.710.610;37.543.942;197;0;1.299;1.599;0;3.095;6.137.073;0;43.684.110;56.964.686;13,07%;13,07%;13,07%;1.092.103;10,02%;3,67%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;;C;3;SAO PAULO;SP;09/2023;3.349.221;0;3.349.221;578.833;3.928.054;32.010.854;0;0;0;0;64.671;64.671;1.758.999;0;33.834.525;41.329.548;9,90%;9,90%;11,61%;845.863;8,10%;0,16%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;;C;2;RIO DE JANEIRO;RJ;09/2023;15.075.827;0;15.075.827;0;15.075.827;703.389;0;0;1.712;32.941.365;0;32.943.077;99.804;0;33.746.270;6.882.473;44,67%;44,67%;44,67%;843.657;219,05%;2,23%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;;C;3;SAO PAULO;SP;09/2023;3.914.243;1.020.049;4.934.292;905.309;5.839.602;22.409.411;757.094;10.342;4.415.560;6.407;2.083.867;7.273.270;3.733.617;0;33.416.299;50.409.366;11,71%;14,77%;17,48%;835.407;9,79%;1,21%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;09/2023;2.852.432;0;2.852.432;731.096;3.583.528;27.999.490;36.784;23.409;64.574;0;3.440;128.207;2.573.437;0;30.701.134;62.453.611;9,29%;9,29%;11,67%;767.528;4,57%;16,50%
