Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;
XP - PRUDENCIAL;1000082475;b1;S2;1;C;2;RIO DE JANEIRO;RJ;09/2024;5.743.345;1.904.888;7.648.233;855.778;8.504.011;34.918.021;156.023;0;2.161.332;262.877;3.474.878;4.739.025;10.794.136;16.382.817;0;62.094.974;213.729.537;9,25%;12,32%;13,70%;1.552.374;3,58%;21,15%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;09/2024;9.061.241;0;9.061.241;2.052.497;11.113.738;51.539.782;830.286;0;18.132;0;33.363;0;881.781;8.558.684;1.024.441;62.004.687;144.249.945;14,61%;14,61%;17,92%;1.550.117;6,28%;10,73%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;;C;2;SAO PAULO;SP;09/2024;7.066.489;1.067.350;8.133.839;0;8.133.839;47.030.167;385.237;0;508.080;12.831;546.787;623.974;2.076.909;5.904.169;0;55.011.246;83.624.817;12,85%;14,79%;14,79%;1.375.281;9,73%;18,30%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;;C;2;SAO PAULO;SP;09/2024;6.045.112;1.043.312;7.088.424;1.256.828;8.345.252;43.959.412;294.153;1.001.876;1.864.120;6;780.960;561.981;4.503.097;3.468.896;0;51.931.405;83.779.768;11,64%;13,65%;16,07%;1.298.285;8,46%;0,57%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;;I;2;SAO PAULO;SP;09/2024;5.159.214;1.952.431;7.111.645;0;7.111.645;38.647.474;310.222;349.418;3.558.529;0;2.409.802;0;6.627.970;3.121.070;0;48.396.513;64.839.173;10,66%;14,69%;14,69%;1.209.913;10,97%;0,54%
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;1;C;2;RIO DE JANEIRO;RJ;09/2024;4.397.561;17.919;4.415.480;467.267;4.882.747;39.325.159;273.390;6.811;44.389;1.713.355;321.015;555.759;2.914.719;3.884.965;232.861;46.357.704;76.083.189;9,49%;9,52%;10,53%;1.158.943;5,80%;11,23%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;;I;1;BELEM;PA;09/2024;6.699.207;0;6.699.207;0;6.699.207;38.485.415;583;0;861;2.566;0;0;4.011;7.301.718;0;45.791.144;65.111.682;14,63%;14,63%;14,63%;1.144.779;10,29%;3,21%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;;C;2;SAO PAULO;SP;09/2024;10.778.025;0;10.778.025;0;10.778.025;6.519.657;2.516.746;2;16.692.223;1.286.839;3.327.887;1.966.263;25.789.960;8.412.999;0;40.722.617;107.342.131;26,47%;26,47%;26,47%;1.018.065;10,04%;0,81%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;09/2024;3.806.274;386.918;4.193.192;994.068;5.187.260;36.217.174;17.713;2.478;150.239;0;88.936;321;259.686;4.183.492;0;40.660.352;99.186.277;9,36%;10,31%;12,76%;1.016.509;4,23%;18,07%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;;C;2;SAO PAULO;SP;09/2024;4.702.107;0;4.702.107;335.470;5.037.577;37.299.370;0;0;0;0;69.851;0;69.851;2.121.047;0;39.490.268;49.163.819;11,91%;11,91%;12,76%;987.257;9,56%;0,13%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;;C;2;RIO DE JANEIRO;RJ;09/2024;16.799.418;0;16.799.418;0;16.799.418;68.952;0;0;531.305;38.050.971;0;0;38.582.276;12.184;0;38.663.412;7.400.162;43,45%;43,45%;43,45%;966.585;227,01%;2,00%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;09/2024;4.970.435;1.620.820;6.591.255;284.307;6.875.562;29.183.449;65.630;0;89.723;0;246.908;0;402.261;3.256.053;889.964;33.731.728;185.248.097;14,74%;19,54%;20,38%;843.293;3,56%;1,54%
