Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
CITIBANK - PRUDENCIAL;1000080192;b1;S2;1;C;3;SAO PAULO;SP;09/2025;14.342.656;0;14.342.656;0;14.342.656;48.537.671;779.473;2.468;11.567.561;151.886;3.390.516;0;15.891.904;10.019.999;0;74.449.575;183.033.060;19,26%;19,26%;19,26%;1.861.239;422.483;7,84%;1,95%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;09/2025;9.947.961;0;9.947.961;3.104.474;13.052.434;60.465.204;1.109.184;0;5.384;0;11.881;0;1.126.450;10.413.792;1.100.863;73.106.310;140.880.774;13,61%;13,61%;17,85%;1.827.658;509.946;7,06%;11,07%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;1;C;2;SAO PAULO;SP;09/2025;7.966.894;1.427.053;9.393.947;0;9.393.947;53.612.970;208.962;8.287;1.327.318;19.927;400.025;593.614;2.558.132;6.323.316;0;62.494.418;95.180.574;12,75%;15,03%;15,03%;1.562.360;302.826;9,87%;17,85%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;09/2025;5.441.236;553.711;5.994.946;2.039.601;8.034.547;52.581.986;24.587;15.399;197.549;0;165.942;265.140;668.616;5.453.297;1.121.001;59.824.900;136.156.751;9,10%;10,02%;13,43%;1.495.623;104.729;4,40%;13,70%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;1;C;3;SAO PAULO;SP;09/2025;6.494.562;1.316.610;7.811.172;1.327.246;9.138.418;46.916.320;269.152;619.689;2.243.308;3;998.778;306.988;4.437.917;3.331.457;0;54.685.694;70.489.820;11,88%;14,28%;16,71%;1.367.142;183.989;11,08%;0,47%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;1;C;3;SAO PAULO;SP;09/2025;12.978.797;0;12.978.797;0;12.978.797;10.166.697;2.530.877;27;18.694.840;1.807.186;3.431.652;7.450.414;33.914.997;8.566.668;0;52.648.361;85.894.934;24,65%;24,65%;24,65%;1.316.209;290.737;15,11%;0,94%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;1;I;1;BELEM;PA;09/2025;7.361.578;0;7.361.578;0;7.361.578;45.212.531;27.415;0;540;3.372;22.109;0;53.436;6.455.690;0;51.721.657;73.221.666;14,23%;14,23%;14,23%;1.293.041;200.770;10,05%;1,76%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;1;I;3;SAO PAULO;SP;09/2025;5.779.281;1.951.268;7.730.549;0;7.730.549;38.655.751;562.392;154.971;4.163.073;0;2.280.532;0;7.160.967;2.894.615;0;48.711.334;70.057.319;11,86%;15,87%;15,87%;1.217.783;409.411;11,03%;0,84%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;1;C;3;SAO PAULO;SP;09/2025;5.110.302;0;5.110.302;641.698;5.751.999;41.475.675;0;0;0;0;139.951;0;139.951;2.712.105;0;44.327.732;57.143.014;11,53%;11,53%;12,98%;1.108.193;454.514;8,94%;0,08%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;1;C;2;RIO DE JANEIRO;RJ;09/2025;19.036.696;0;19.036.696;0;19.036.696;1.233.748;0;0;2;42.651.692;0;0;42.651.694;77.210;0;43.962.651;30.423.468;43,30%;43,30%;43,30%;1.099.066;0;62,57%;1,62%
INTER - PRUDENCIAL;1000080996;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2025;5.496.220;0;5.496.220;533.862;6.030.082;33.725.395;133.336;11.939;498.577;2.695;0;505.180;1.151.727;5.996.395;337.106;41.210.624;109.393.674;13,34%;13,34%;14,63%;1.030.266;858.260;5,02%;13,55%
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S3;3;C;3;OSASCO;SP;09/2025;4.231.718;0;4.231.718;366.472;4.598.191;20.366.845;407.628;0;0;0;8.856;0;416.484;7.140.589;11.635.896;39.559.814;NA;10,70%;10,70%;11,62%;988.995;22.540;NA%;NA%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;1;C;2;PORTO ALEGRE;RS;09/2025;5.335.159;2.526.473;7.861.633;72.261;7.933.894;30.837.101;456.990;0;232.732;0;172.170;0;861.892;3.353.140;1.338.691;36.390.824;220.245.062;14,66%;21,60%;21,80%;909.771;205.234;3,57%;1,40%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;1;C;3;SAO PAULO;SP;09/2025;4.212.233;1.187.922;5.400.155;1.090.632;6.490.787;22.293.075;1.219.955;7.026;5.799.505;40.035;2.677.791;53.465;9.797.776;3.333.792;0;35.424.643;53.775.761;11,89%;15,24%;18,32%;885.616;356.182;10,04%;1,36%
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;1;C;2;BRASILIA;DF;09/2025;5.555.740;634.260;6.190.000;0;6.190.000;25.957.740;312.798;0;14.656;0;0;0;327.454;4.818.249;1.621.009;32.724.452;204.174.769;16,98%;18,92%;18,92%;818.111;209.283;3,03%;11,49%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;1;C;3;SAO PAULO;SP;09/2025;6.494.204;0;6.494.204;0;6.494.204;7.826.877;1.088.431;2.089.627;7.767.021;4.591.863;2.006.671;1.218.558;18.762.170;3.677.320;0;30.266.367;25.892.759;21,46%;21,46%;21,46%;756.659;93.959;25,08%;0,87%
PAGSEGURO - PRUDENCIAL;1000084813;b1;S3;3;C;2;SAO PAULO;SP;09/2025;6.627.220;0;6.627.220;0;6.627.220;5.811.709;5.981;0;0;0;236.103;0;242.085;11.965.928;10.764.620;28.784.342;0;23,02%;23,02%;23,02%;1.439.217;612.983;NI%;NA%
BMG - PRUDENCIAL;1000080178;b1;S3;1;C;2;SAO PAULO;SP;09/2025;2.683.111;116.550;2.799.661;926.413;3.726.074;25.085.764;23.870;0;151.129;914;11.700;0;187.613;3.100.100;0;28.373.477;47.114.290;9,46%;9,87%;13,13%;709.337;434.895;5,94%;28,13%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;1;C;3;SAO PAULO;SP;09/2025;6.847.990;0;6.847.990;0;6.847.990;7.326.467;818.688;131.023;14.748.387;0;1.416.871;525.112;17.640.081;3.297.287;0;28.263.835;45.387.636;24,23%;24,23%;24,23%;706.596;236.950;15,09%;2,00%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;1;C;1;PORTO ALEGRE;RS;09/2025;5.377.607;0;5.377.607;0;5.377.607;21.893.178;2.657.716;0;16.191;0;96;0;2.674.003;1.239.388;0;25.806.570;30.754.703;20,84%;20,84%;20,84%;645.164;356.501;17,49%;0,73%
AGIBANK - PRUDENCIAL;1000083694;b1;S3;1;C;2;CAMPINAS;SP;09/2025;3.110.353;0;3.110.353;319.374;3.429.727;22.511.706;24;0;102.492;0;47.277;0;149.793;2.297.625;0;24.959.124;45.933.078;12,46%;12,46%;13,74%;623.978;55.302;6,77%;46,06%
CIELO IP - PRUDENCIAL;1000084710;n4;NA;2;C;2;BARUERI;SP;09/2025;NA;NA;NA;NA;3.643.503;4.757.905;1.164;NA;NA;NA;NA;NA;1.164;0;18.775.578;23.534.647;NA;NA%;NA%;15,48%;NA;NA;NA%;NA%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;1;I;3;CURITIBA;PR;09/2025;2.738.219;0;2.738.219;899.716;3.637.935;20.133.269;417.212;0;0;0;69.800;0;487.012;1.210.473;0;21.830.754;27.545.015;12,54%;12,54%;16,66%;545.769;218.698;9,94%;0,08%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;1;C;2;SAO PAULO;SP;09/2025;1.630.105;339.617;1.969.722;625.079;2.594.801;19.535.420;27.782;0;211;0;41.470;0;69.462;2.014.314;0;21.619.196;NA;7,54%;9,11%;12,00%;540.480;78.494;NA%;7,15%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;1;C;2;SAO PAULO;SP;09/2025;1.616.236;648.720;2.264.956;939.346;3.204.302;19.201.126;27.829;0;170.988;0;40.370;0;239.187;1.786.006;0;21.226.320;35.569.359;7,61%;10,67%;15,10%;530.658;86.596;6,37%;5,39%
STELLANTIS - PRUDENCIAL;1000087298;b2;S3;1;C;3;SAO PAULO;SP;09/2025;3.322.545;0;3.322.545;0;3.322.545;19.668.498;0;0;0;0;20.948;0;20.948;973.275;0;20.662.722;29.179.233;16,08%;16,08%;16,08%;516.568;325.154;11,39%;0,21%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;1;I;3;SAO PAULO;SP;09/2025;2.900.166;0;2.900.166;0;2.900.166;10.699.144;551.739;17;4.916.942;0;1.593.965;0;7.062.663;1.502.515;0;19.264.323;18.626.712;15,05%;15,05%;15,05%;481.608;26.872;15,57%;0,83%
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;1;C;3;SAO PAULO;SP;09/2025;2.095.380;904.162;2.999.542;0;2.999.542;15.976.949;388.118;0;67.137;636;23.163;0;479.054;2.097.234;0;18.553.236;23.151.578;11,29%;16,17%;16,17%;463.831;58.565;12,96%;1,64%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;1;I;2;SAO PAULO;SP;09/2025;2.866.164;0;2.866.164;0;2.866.164;15.877.246;6.853;0;0;0;0;0;6.853;2.224.613;1.822;18.110.535;25.552.742;15,83%;15,83%;15,83%;905.527;141.978;11,22%;7,06%
STONE IP - PRUDENCIAL;1000084686;n1;S3;3;C;3;SAO PAULO;SP;09/2025;2.688.004;516.695;3.204.700;0;3.204.700;4.804.921;63.119;0;0;0;97.931;0;161.050;1.301.061;11.815.873;18.082.906;NA;14,86%;17,72%;17,72%;452.073;26.247;NA%;NA%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;1;C;3;SAO BERNARDO DO CAMPO;SP;09/2025;2.336.480;0;2.336.480;0;2.336.480;17.172.743;0;0;0;0;0;0;0;790.797;0;17.963.540;20.162.361;13,01%;13,01%;13,01%;449.089;114.711;11,59%;0,62%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;1;C;2;BELO HORIZONTE;MG;09/2025;2.291.259;205.314;2.496.574;393.371;2.889.944;15.932.550;2.347;123;2.663;395;0;19.457;24.985;2.001.459;0;17.958.994;33.142.123;12,76%;13,90%;16,09%;448.975;324.261;7,53%;48,76%
VOLVO - PRUDENCIAL;1000080769;b2;S3;1;C;3;CURITIBA;PR;09/2025;3.880.871;0;3.880.871;0;3.880.871;15.904.693;0;0;0;0;0;0;0;857.876;0;16.762.568;17.040.443;23,15%;23,15%;23,15%;419.064;167.492;22,77%;14,66%
PICPAY - PRUDENCIAL;1000088022;b1;S3;3;C;2;SAO PAULO;SP;09/2025;1.954.213;0;1.954.213;0;1.954.213;12.916.256;3.728;0;4.187;0;10.723;0;18.638;1.972.411;1.830.841;16.738.147;0;11,68%;11,68%;11,68%;418.454;91;NI%;NA%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;1;C;3;SAO PAULO;SP;09/2025;4.802.534;0;4.802.534;0;4.802.534;5.534.866;33.223;7;4.028.948;580.762;2.298.959;805.691;7.747.589;3.445.014;0;16.727.469;27.769.869;28,71%;28,71%;28,71%;418.187;385.235;17,29%;0,41%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;1;C;3;SAO PAULO;SP;09/2025;2.847.542;0;2.847.542;0;2.847.542;12.994.903;44.749;0;16.981;0;1.067.105;0;1.128.835;993.951;0;15.117.688;22.480.633;18,84%;18,84%;18,84%;377.942;48.286;12,67%;0,41%
BOCOM - PRUDENCIAL;1000084624;b1;S3;1;C;3;SALVADOR;BA;09/2025;1.570.245;205.407;1.775.652;755.587;2.531.239;12.841.250;514.219;444;60.379;0;176.424;0;751.466;1.253.711;0;14.846.427;26.633.094;10,58%;11,96%;17,05%;371.161;42.748;6,67%;0,57%
BANESTES - PRUDENCIAL;1000080147;b1;S3;1;C;1;VITORIA;ES;09/2025;2.113.961;0;2.113.961;0;2.113.961;12.556.626;2.063;0;0;0;0;0;2.063;2.061.026;397;14.620.111;29.373.665;14,46%;14,46%;14,46%;365.503;68.593;7,20%;24,71%
PINE - PRUDENCIAL;1000080374;b1;S3;1;C;2;SAO PAULO;SP;09/2025;1.356.139;106.482;1.462.621;521.155;1.983.777;12.269.933;40.098;6;174.836;14.433;79.606;486.426;795.406;1.457.810;0;14.523.149;30.852.305;9,34%;10,07%;13,66%;363.079;140.140;4,74%;8,17%
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;1;C;3;SAO PAULO;SP;09/2025;6.186.085;0;6.186.085;0;6.186.085;4.668.954;89.767;0;1.882.757;621.160;1.049.195;374.213;4.017.092;5.487.253;0;14.173.300;29.560.722;43,65%;43,65%;43,65%;354.333;6.635;20,93%;1,41%
SCANIA - PRUDENCIAL;1000080776;b2;S3;1;C;3;SAO BERNARDO DO CAMPO;SP;09/2025;1.720.779;0;1.720.779;0;1.720.779;13.257.783;0;0;0;0;0;0;0;751.741;0;14.009.523;16.147.012;12,28%;12,28%;12,28%;350.238;31.510;10,66%;0,68%
