Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2025;38.859.650;237.506.315;557.919.816;78.511.336;827.011.705;-43.395.312;356.240;0;783.972.633;8.033.964;-236.514;0;7.797.450;229.201.949;-5.698.300;-278.482;844;223.226.010;129.855.446;-4.260.011;125.595.435;391.954.352;55.599.815;2.500.942.812
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2025;28.366.689;363.147.082;520.334.985;8.376.767;998.218.038;-76.130.409;-3.049;0;922.084.580;871.920;-14.665;0;857.255;150.479.081;-6.367.383;0;0;144.111.699;55.706.563;-842.193;54.864.370;329.680.679;49.133.090;2.420.957.196
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2025;8.253.718;257.576.393;304.404.859;268;1.250.570.603;-51.862.091;-796.303;0;1.197.912.208;0;0;0;0;2.285.740;-146.422;0;0;2.139.318;14.594.923;-1.018.056;13.576.867;285.666.283;19.135.019;2.088.664.934
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2025;16.937.960;168.989.687;281.497.794;17.251.259;629.972.189;-47.792.848;0;0;582.179.341;6.514.761;-105.460;0;6.409.301;168.264.611;-6.780.840;0;39.648;161.523.420;62.903.287;-1.783.148;61.120.139;306.189.752;72.052.816;1.674.151.469
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2025;14.898.474;148.275.857;254.818.844;31.435.915;454.487.680;-37.410.456;169.853;0;417.247.077;3.260.646;-21.905;0;3.238.741;65.967.225;-1.593.008;0;0;64.374.217;50.549.270;-1.005.370;49.543.900;251.465.446;27.800.374;1.263.098.847
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2025;694.373;45.770.994;200.956.545;1.300.327;333.969.305;-7.533.770;151.956;0;326.587.491;0;0;0;0;44.312.672;-4.899.607;0;0;39.413.064;0;0;0;243.009.710;2.346.311;860.078.816
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2025;4.885.219;81.053.626;138.799.115;48.610.052;141.873.305;-8.063.838;-1.364.286;0;132.445.181;43.720;0;0;43.720;46.975.839;-912.064;-2.345;0;46.061.430;4.336.624;-275.886;4.060.739;91.356.052;25.659.576;572.974.709
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2025;5.099.811;19.195.998;148.313.300;32.809.261;19.404.721;-300.173;0;274;19.104.821;0;0;0;0;2.840.441;-1.821;-28.652;0;2.809.967;7.849.800;-69.499;7.780.301;43.881.032;6.290.544;285.285.035
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2025;3.829.385;21.936.478;53.113.952;6.787.657;95.183.111;-5.363.995;-1.149.627;0;88.669.490;2.672.492;-119.008;-22.553;2.530.931;37.552.746;-598.670;-129.262;0;36.824.814;863.329;-44.470;818.860;35.774.049;7.842.878;258.128.494
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;3;SAO PAULO;SP;03/2025;1.085.614;667.431;51.536.064;441.275;79.324.396;-25.751.874;0;0;53.572.522;0;0;0;0;0;0;0;0;0;57.224.924;-4.027.327;53.197.597;81.779.490;2.117.965;244.397.957
