Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2024;37.819.702;389.373.599;733.601.081;794.547.099;-45.538.077;749.009.023;7.663.961;266.702;32.598;-227.773;7.735.488;478.865.189;238.441.978;59.845.576;2.694.691.637;32.598;2.694.659.039
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2024;24.214.353;561.479.131;512.826.807;947.050.850;-60.341.866;886.708.984;80.996;699.254;230.137;-11.342;999.046;270.688.512;137.061.730;48.471.213;2.442.449.776;230.137;2.442.219.639
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2024;9.050.874;229.195.887;285.756.282;1.194.399.251;-48.660.849;1.145.738.402;0;0;0;0;0;116.331.733;177.664.728;18.351.424;1.982.089.331;0;1.982.089.331
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2024;17.068.161;208.809.074;391.888.243;577.903.301;-46.465.932;531.437.369;217.021;8.741.208;3.311.264;-52.467;12.217.027;308.138.047;151.647.025;68.192.579;1.689.397.525;3.311.264;1.686.086.260
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;2;SAO PAULO;SP;09/2024;18.705.110;149.636.540;292.748.187;449.691.194;-33.016.124;416.675.070;3.117;5.466.716;2.206.242;-41.346;7.634.730;245.811.526;153.968.948;28.173.879;1.313.353.988;2.206.242;1.311.147.746
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2024;19.035;32.558.384;233.936.287;321.054.373;-9.228.931;311.825.441;0;0;0;0;0;20.773.855;205.889.100;2.100.962;807.103.064;0;807.103.064
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2024;5.301.912;98.645.151;206.739.031;129.229.478;-4.992.151;124.237.328;0;154;0;0;154;82.448.428;49.173.809;22.044.099;588.589.912;0;588.589.912
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2024;2.667.689;50.357.176;96.008.989;98.954.447;-4.703.594;94.250.852;8.501;3.053.046;860.471;-19.111;3.902.907;26.308.987;29.251.357;7.697.128;310.445.086;860.471;309.584.614
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2024;2.547.149;25.170.738;149.302.049;18.882.426;-313.905;18.568.521;0;0;0;0;0;37.076.372;15.286.821;3.713.504;251.665.153;0;251.665.153
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;09/2024;126.999;500.021;55.349.269;58.886.023;-10.379.070;48.506.953;0;0;0;0;0;54.723.589;57.996.819;2.016.883;219.220.531;0;219.220.531
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;2;SAO PAULO;SP;09/2024;4.497.656;35.654.377;59.364.504;18.369.867;-282.050;18.087.817;11;487;27;-39;486;53.475.326;33.064.934;606.690;204.751.790;27;204.751.763
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;09/2024;622.960;27.048.426;29.550.471;33.872.743;-43.723;33.829.020;0;0;0;0;0;14.132.659;79.395.345;106.049;184.684.929;0;184.684.929
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;2;SAO PAULO;SP;09/2024;79.114;34.157.302;71.708.286;1.873.570;-4.249;1.869.321;0;0;0;0;0;28.881.477;28.000.677;87.129;164.783.305;0;164.783.305
BANCOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;09/2024;45.320;39.539.256;38.653.863;16.086.397;-316.136;15.770.260;0;0;0;0;0;14.334.132;43.252.869;712.416;152.308.116;0;152.308.116
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2024;198.332;10.814.393;42.329.977;68.809.891;-4.986.406;63.823.485;-9;31.756;2.359;-163;33.944;18.603.322;4.921.694;2.770.807;143.495.954;2.359;143.493.595
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2024;1.207.854;4.392.092;57.474.961;53.643.128;-2.478.442;51.164.686;50;28.174;21.969;-50;50.143;10.138.705;14.773.527;1.710.848;140.912.815;21.969;140.890.846
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;09/2024;18.263;70.557;1.216.648;1.052.938;-38.071;1.014.867;0;0;0;0;0;3.925.541;83.997.352;9.457.666;99.700.894;0;99.700.894
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;09/2024;2.092.966;1.042.752;34.869.346;43.330.039;-1.778.332;41.551.706;0;0;0;0;0;14.468.181;3.576.240;960.782;98.561.974;0;98.561.974
