Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2024;36.077.662;298.940.731;800.081.244;836.320.954;-45.879.749;790.441.206;8.144.337;222.899;24.656;-208.684;8.183.208;483.748.579;255.300.958;59.538.821;2.732.312.408;24.656;2.732.287.752
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2024;20.078.732;399.381.932;591.315.833;986.973.873;-60.200.870;926.773.003;118.870;792.237;245.264;-12.420;1.143.950;292.151.285;132.117.790;46.763.716;2.409.726.240;245.264;2.409.480.977
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2024;10.441.936;225.463.876;299.460.037;1.219.943.636;-48.913.608;1.171.030.028;0;0;0;0;0;119.653.572;181.990.209;18.083.022;2.026.122.679;0;2.026.122.679
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2024;19.199.833;196.017.346;411.928.560;599.335.876;-46.234.291;553.101.585;119.429;9.211.854;3.095.430;-54.241;12.372.471;307.256.853;152.386.866;69.724.150;1.721.987.665;3.095.430;1.718.892.235
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2024;17.639.165;110.875.404;316.600.230;456.401.161;-32.988.893;423.412.268;2.055;5.335.855;1.995.423;-27.807;7.305.526;310.135.801;158.280.786;27.531.844;1.371.781.024;1.995.423;1.369.785.601
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2024;19.428;40.083.819;228.963.369;336.184.723;-10.348.105;325.836.617;0;0;0;0;0;21.407.104;222.210.422;2.303.504;840.824.264;0;840.824.264
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2024;3.750.735;97.261.570;177.053.291;129.429.364;-5.124.332;124.305.032;6.505;13.115;10.500;0;30.120;136.708.681;44.129.210;28.151.738;611.390.377;10.500;611.379.876
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2024;3.899.201;38.079.915;96.805.326;96.736.341;-4.543.204;92.193.137;18.102;3.337.480;785.513;-39.383;4.101.712;29.123.630;24.579.900;7.512.261;296.295.082;785.513;295.509.569
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2024;2.625.940;24.957.796;162.238.229;18.814.256;-302.497;18.511.758;0;0;0;0;0;49.486.574;15.846.123;6.242.166;279.908.585;0;279.908.585
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;12/2024;348.647;26.747;57.767.354;66.187.830;-11.537.581;54.650.249;0;0;0;0;0;61.803.299;71.824.548;1.916.618;248.337.461;0;248.337.461
