Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2025;34.279.846;328.389.143;572.629.785;80.879.411;838.931.352;-42.600.639;395.465;0;796.726.178;7.496.610;-206.730;0;7.289.880;234.129.138;-5.990.515;-307.924;-29.336;227.801.363;133.348.219;-4.155.417;129.192.802;415.991.930;59.103.299;2.652.283.636
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2025;23.732.228;354.611.570;659.366.607;9.671.952;1.005.672.904;-88.721.937;-1.155;0;916.949.812;1.076.574;-179.765;0;896.810;134.444.004;-5.454.441;0;0;128.989.563;57.701.368;-1.066.558;56.634.810;333.105.546;54.327.420;2.538.286.318
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2025;8.939.243;199.736.817;434.199.437;66;1.316.221.398;-57.868.087;-393.487;0;1.257.959.824;0;0;0;0;2.463.635;-266.153;0;0;2.197.482;15.749.168;-1.163.014;14.586.154;271.884.446;20.185.124;2.209.688.594
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2025;16.717.590;236.994.658;288.847.015;21.258.189;662.054.284;-47.195.767;0;0;614.858.517;7.307.246;-123.094;0;7.184.152;165.000.604;-6.821.730;0;142.251;158.321.126;65.298.201;-1.827.169;63.471.032;309.976.894;77.219.616;1.794.848.789
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2025;11.007.889;141.750.650;257.023.009;53.634.548;453.456.520;-36.777.451;153.178;0;416.832.247;3.567.842;-19.956;0;3.547.886;67.695.430;-2.966.138;0;0;64.729.293;52.340.964;-823.749;51.517.215;258.279.487;27.919.355;1.286.241.580
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2025;25.722;40.455.306;229.143.735;1.817.381;343.708.055;-8.462.014;166.727;0;335.412.767;0;0;0;0;46.999.646;-4.811.803;-585;0;42.187.258;0;0;0;254.204.015;2.308.267;905.554.450
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2025;5.540.190;80.017.989;178.096.989;53.337.458;149.611.151;-10.496.821;-490.669;0;138.623.661;180.840;-677;0;180.163;50.896.237;-1.527.257;-1.124;0;49.367.855;4.743.430;-244.861;4.498.569;94.326.459;27.022.093;631.011.426
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S2;C;3;SAO PAULO;SP;09/2025;1.915.048;596.202;64.708.099;1.286.296;97.828.034;-35.059.785;0;0;62.768.249;0;0;0;0;0;0;0;0;0;65.367.438;-3.906.315;61.461.123;101.695.607;2.455.240;296.885.864
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2025;9.063.533;14.566.338;142.597.540;46.230.156;23.095.744;-412.815;0;216;22.683.145;0;0;0;0;7.194.507;-23.042;-26.337;0;7.145.129;8.202.548;-67.277;8.135.271;32.592.679;8.021.274;291.035.065
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2025;4.800.225;15.326.324;63.366.366;8.959.638;95.652.067;-5.832.330;-503.526;0;89.316.211;2.950.200;-107.377;-8.663;2.834.160;40.681.433;-985.385;3.527;0;39.699.575;884.780;-26.247;858.533;35.076.268;5.210.763;265.448.063
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;09/2025;654.646;8.574.207;58.234.604;141.451;41.555.022;-16.676;0;0;41.538.345;0;0;0;0;1.070.991;-61;0;0;1.070.930;0;0;0;108.884.928;111.057;219.210.169
BANCO SICOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;09/2025;219.473;70.808.153;41.553.383;105;21.542.117;-299.845;0;0;21.242.272;0;0;0;0;1.591.239;-12.600;0;0;1.578.639;15.340.666;-129.889;15.210.777;50.446.022;799.207;201.858.031
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2025;5.715.556;28.664.659;46.414.838;20.369.874;18.103.686;-595.031;0;0;17.508.655;17;0;0;17;14.113.373;-413.092;0;0;13.700.281;343.270;-11.298;331.972;62.320.785;544.092;195.570.730
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;09/2025;1.203.095;2.737.412;67.424.025;83.897;59.119.086;-3.378.237;0;0;55.740.849;5.803;-80;0;5.723;2.962.495;-75.252;0;0;2.887.243;1.980.758;-76.857;1.903.902;24.949.355;1.770.629;158.706.131
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2025;267.293;13.399.007;37.858.705;6.440.944;69.440.140;-8.873.525;-288.826;217;60.278.005;97.040;-472;0;96.569;10.245.483;-237.600;0;978;10.008.862;3.334.953;-226.519;3.108.434;16.550.124;2.668.309;150.676.252
