Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2024;34.252.211;312.820.482;737.833.291;741.455.019;-48.436.033;693.018.986;7.237.080;276.968;48.683;-188.448;7.374.283;427.606.806;231.206.095;58.454.439;2.502.566.592;48.683;2.502.517.909
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2024;23.837.384;475.560.981;507.907.031;904.655.598;-55.306.803;849.348.794;41.659;635.780;215.978;-4.313;889.104;250.060.423;128.721.833;45.992.151;2.282.317.701;215.978;2.282.101.723
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2024;9.677.890;196.187.926;285.123.127;1.131.039.300;-49.819.448;1.081.219.852;0;0;0;0;0;112.301.328;176.543.658;16.985.950;1.878.039.731;0;1.878.039.731
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2024;18.585.743;223.548.694;408.268.162;533.651.893;-48.416.601;485.235.292;159.707;7.594.838;2.956.832;-46.082;10.665.295;274.741.359;149.846.723;68.118.108;1.639.009.376;2.956.832;1.636.052.544
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2024;8.862.369;112.037.543;275.930.503;440.679.023;-30.728.922;409.950.101;1.840;5.571.725;2.405.776;-12.972;7.966.368;219.703.967;144.803.631;25.426.967;1.204.681.448;2.405.776;1.202.275.672
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2024;12.859;30.811.140;190.992.796;312.185.127;-9.494.970;302.690.158;0;0;0;0;0;20.119.189;193.022.097;2.058.020;739.706.258;0;739.706.258
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2024;2.786.435;97.503.513;208.953.882;115.250.253;-4.041.111;111.209.142;0;0;0;0;0;84.026.611;31.887.099;18.640.103;555.006.785;0;555.006.785
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2024;1.844.888;31.001.165;87.685.841;102.131.461;-4.780.024;97.351.437;22.243;3.159.222;938.740;-15.868;4.104.338;28.572.700;27.118.663;9.498.173;287.177.205;938.740;286.238.464
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2024;1.623.784;29.190.332;115.471.010;22.486.350;-282.078;22.204.272;0;0;0;0;0;31.185.542;6.686.114;3.711.991;210.073.044;0;210.073.044
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;03/2024;157.611;500.299;38.991.823;46.511.455;-7.299.843;39.211.611;0;0;0;0;0;49.347.149;63.858.714;1.976.138;194.043.347;0;194.043.347
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2024;1.760.228;37.784.166;69.786.500;14.960.035;-190.859;14.769.176;21;1.236;23;-107;1.173;44.867.792;23.429.393;606.242;193.004.670;23;193.004.647
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;03/2024;567.960;11.503.936;32.543.586;29.627.577;-17.109;29.610.468;0;0;0;0;0;12.426.369;78.121.063;97.469;164.870.850;0;164.870.850
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2024;40.825;33.693.657;35.589.693;14.466.360;-273.752;14.192.608;0;0;0;0;0;12.703.084;41.095.685;648.079;137.963.631;0;137.963.631
